model_identifier,1nn_accuracy,ft_accuracy
google/vit-large-patch32-384,0.925,0.9350000023841858
IDEA-CCNL/Taiyi-vit-87M-D,0.885,0.9149999618530272
mustapha/flipped-image-ViT,0.885,0.8899999856948853
google/vit-base-patch16-224,0.885,0.9099999666213988
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.885,0.9099999666213988
nielsr/vit-base-patch16-224,0.885,0.9099999666213988
google/vit-large-patch16-224,0.88,0.8949999809265137
google/vit-base-patch32-384,0.875,0.9099999666213988
microsoft/swin-large-patch4-window7-224-in22k,0.875,0.044999998062849
mmekias/vit-base-beans,0.87,0.8149999976158142
hafidber/rare-puppers,0.87,0.8399999737739563
microsoft/swin-large-patch4-window7-224,0.865,0.8999999761581421
karthiksv/vit-base-beans,0.865,0.8799999952316284
smc/electric,0.865,0.8100000023841858
michaelbenayoun/vit-base-beans,0.865,0.8199999928474426
karthiksv/vit-base-patch16-224-cifar10,0.865,0.8349999785423279
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.865,0.8299999833106995
osanseviero/hot_dog_or_sandwich,0.865,0.8349999785423279
NhatPham/vit-base-patch16-224-recylce-ft,0.86,0.9199999570846558
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.86,0.8549999594688416
WinKawaks/vit-small-patch16-224,0.855,0.8849999904632568
osanseviero/llama-alpaca-guanaco-vicuna,0.855,0.8399999737739563
smc/electric_poles,0.855,0.7999999523162842
jeffboudier/vision-transformers-spain-or-italy-fan,0.855,0.85999995470047
lazyturtl/roomidentifier,0.855,0.7699999809265137
Rajaram1996/FacialEmoRecog,0.85,0.8349999785423279
nateraw/vit-base-beans,0.85,0.8100000023841858
johnnydevriese/vliegmachine,0.85,0.85999995470047
Amrrs/south-indian-foods,0.85,0.7799999713897705
jjhoffstein/lotr,0.85,0.8100000023841858
nateraw/rare-puppers-123,0.85,0.7899999618530273
smc/Electric_Pole_with_or_without_transformer,0.845,0.824999988079071
Frodnar/bee-likes,0.845,0.8050000071525574
black/simple_kitchen,0.845,0.7949999570846558
b25mayank3/shirt_identifier,0.845,0.8149999976158142
mmgyorke/vit-world-landmarks,0.845,0.8050000071525574
hafidber/anomaly,0.845,0.8100000023841858
nateraw/pasta-pizza-ravioli,0.84,0.8449999690055847
nateraw/huggingpics-package-demo,0.84,0.7899999618530273
smaranjitghose/cricket-baseball-smrn,0.84,0.85999995470047
hafidber/anomaly2,0.84,0.824999988079071
lazyturtl/blocks,0.84,0.8149999976158142
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.84,0.9249999523162842
Suzana/new-york-tokyo-london,0.84,0.875
hgarg/indian-snacks,0.84,0.8449999690055847
nateraw/pasta-shapes,0.84,0.8549999594688416
drab/Infrastructures,0.84,0.7899999618530273
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.84,0.7999999523162842
nateraw/huggingpics-package-demo-2,0.84,0.824999988079071
osanseviero/taco_or_what,0.84,0.7949999570846558
edixo/road_good_damaged_condition,0.835,0.6949999928474426
firas-spanioli/beer-whisky-wine-detection,0.835,0.8799999952316284
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.835,0.8149999976158142
ajanco/greens,0.835,0.8499999642372131
filipafcastro/beer_vs_wine,0.835,0.8650000095367432
nateraw/baked-goods,0.835,0.8100000023841858
eliwill/rare-puppers,0.835,0.7849999666213989
velociraptor/hugging-doge,0.835,0.7949999570846558
ipvikas/rare-puppers,0.83,0.8399999737739563
Neto71/sea_mammals,0.83,0.7749999761581421
nateraw/trainer-rare-puppers,0.83,0.7149999737739563
meame2010/rare-puppers,0.83,0.8100000023841858
juanfiguera/ice_cream,0.825,0.8100000023841858
suhnylla/planes_airlines,0.825,0.7949999570846558
hafidber/fruits,0.825,0.7450000047683716
nateraw/rare-puppers-new-auth,0.825,0.8100000023841858
sreeramajay/pollution,0.8200000000000001,0.8700000047683716
driboune/skin_type,0.8200000000000001,0.8499999642372131
smc/electric_pole_type_classification,0.8200000000000001,0.8549999594688416
firebolt/llama_or_what2,0.8200000000000001,0.8650000095367432
nateraw/ex-for-evan,0.8200000000000001,0.7049999833106995
lazyturtl/WEC-types,0.8200000000000001,0.8949999809265137
facebook/deit-small-distilled-patch16-224,0.8200000000000001,
julien-c/hotdog-not-hotdog,0.815,0.8149999976158142
smc/electric_2,0.815,0.8349999785423279
vincentclaes/mit-indoor-scenes,0.815,0.7799999713897705
roydcarlson/grain,0.815,0.8199999928474426
akahana/asl-vit,0.815,0.8449999690055847
osanseviero/hugging-geese,0.815,0.73499995470047
thak123/indian-snacks,0.815,0.7699999809265137
Hijazzi/rare-puppers,0.815,0.7899999618530273
thak123/goan-fish-fry,0.81,0.8949999809265137
osanseviero/llama-or-potato,0.81,0.7849999666213989
osanseviero/llama-alpaca-snake,0.81,0.8700000047683716
nateraw/denver-nyc-paris,0.81,0.8700000047683716
nateraw/rare-puppers,0.81,0.8799999952316284
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.81,0.7699999809265137
Sena/dog,0.81,0.7699999809265137
nateraw/vit-base-food101,0.8049999999999999,0.85999995470047
LorenzoDeMattei/lawn-weeds,0.8049999999999999,0.8349999785423279
dog/rare-puppers,0.8049999999999999,0.7649999856948853
jasmeen/dogs,0.8049999999999999,0.7949999570846558
Ahmed9275/ALL,0.8049999999999999,0.7899999618530273
micole66/dwarf-goats,0.8049999999999999,0.8349999785423279
ferdinand/rare-puppers,0.8049999999999999,0.7949999570846558
nateraw/donut-or-bagel,0.8049999999999999,0.8399999737739563
jmarshall/rare-puppers,0.8049999999999999,0.7649999856948853
eren23/pneumonia_test_attempt,0.8,0.85999995470047
Amrrs/indian-foods,0.8,0.8349999785423279
Sena/flowers,0.8,0.8549999594688416
Symbermine/rare-puppers,0.8,0.7849999666213989
lazyturtl/roomclassifier,0.8,0.8349999785423279
HHousen/household-rooms,0.8,0.8299999833106995
SriramSridhar78/sriram-car-classifier,0.8,0.8449999690055847
nateraw/rare-puppers-09-04-2021,0.8,0.8700000047683716
lazyturtl/digital,0.8,0.7400000095367432
eren23/pneumonia-bielefeld-dl-course,0.8,0.7749999761581421
facebook/deit-tiny-distilled-patch16-224,0.795,0.7699999809265137
rexoscare/string_instrument_detector,0.795,0.7799999713897705
Giuliano/places,0.795,0.8499999642372131
godiec/diam,0.795,0.85999995470047
hgarg/fruits,0.795,0.8499999642372131
Aftabhussain/Tomato_Leaf_Classifier,0.795,0.8149999976158142
microsoft/swin-base-patch4-window7-224,0.795,0.9199999570846558
facebook/deit-tiny-patch16-224,0.79,0.7249999642372131
victor/animals-classifier,0.79,0.7450000047683716
flyswot/test,0.79,
nateraw/baseball-stadium-foods,0.79,0.8199999928474426
facebook/deit-base-distilled-patch16-224,0.785,0.9300000071525574
nateraw/vit-base-patch16-224-cifar10,0.785,0.7749999761581421
ibombonato/vit-age-classifier,0.785,0.8899999856948853
firebolt/llama_or_what,0.785,0.8100000023841858
microsoft/swin-base-patch4-window7-224-in22k,0.775,0.0249999985098838
nickmuchi/vit-finetuned-cats-dogs,0.775,0.8449999690055847
nateraw/rare-puppers-demo,0.775,0.7799999713897705
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.77,0.8100000023841858
lewtun/oz-fauna,0.77,0.8499999642372131
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.77,0.7049999833106995
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.77,0.7199999690055847
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.77,0.8549999594688416
facebook/deit-small-patch16-224,0.765,0.8349999785423279
roschmid/dog-races,0.765,0.8650000095367432
Ahmed9275/ALL-2,0.765,0.8399999737739563
vivekRahul/animal_classifier_huggingface,0.765,0.75
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.76,0.8700000047683716
facebook/deit-base-patch16-224,0.76,0.8999999761581421
imjeffhi/pokemon_classifier,0.755,0.8849999904632568
pierric/ny-cr-fr,0.755,0.7299999594688416
smc/PANDA_ViT,0.75,0.8050000071525574
Nonem100/Test-Model,0.75,0.7699999809265137
osanseviero/llama-horse-zebra,0.745,0.7899999618530273
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.74,0.75
nateraw/food,0.74,0.8349999785423279
gatecitypreservation/architectural_styles,0.74,0.7599999904632568
dimbyTa/rock-challenge-ViT-two-by-two,0.735,0.7999999523162842
nateraw/doggos-lol,0.735,0.75
abdusahmbzuai/CarViT,0.735,0.8399999737739563
nateraw/vit-base-cats-vs-dogs,0.73,0.7099999785423279
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.73,0.7749999761581421
davanstrien/deit_flyswot,0.7150000000000001,0.8700000047683716
facebook/data2vec-vision-large,0.7150000000000001,0.0249999985098838
smaranjitghose/big-cat-classifier,0.7150000000000001,0.7549999952316284
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.7050000000000001,0.7249999642372131
iyzg/computer-stuff,0.7,0.8449999690055847
nickmuchi/vit-base-beans,0.7,0.75
thapasushil/vit-base-cifar10,0.7,0.6850000023841858
johnnydevriese/vit_beans,0.7,0.7649999856948853
AhmedSayeem/VIT_Basic,0.7,0.6200000047683716
Ahmed9275/ALL-94.5,0.6950000000000001,0.7799999713897705
nateraw/vit-base-beans-demo-v2,0.6950000000000001,0.8549999594688416
nateraw/vit-base-beans-demo-v3,0.6950000000000001,0.75
matteopilotto/vit-base-patch16-224-in21k-snacks,0.69,0.875
shivkumarganesh/vision-transformer-fmri-classification-ft,0.69,0.8399999737739563
facebook/data2vec-vision-large-ft1k,0.685,0.0149999996647238
davanstrien/iiif_manuscript_vit,0.665,0.7249999642372131
microsoft/swin-small-patch4-window7-224,0.6599999999999999,0.1449999958276748
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.65,0.6800000071525574
yangy50/garbage-classification,0.64,0.5249999761581421
nateraw/planes-trains-automobiles,0.62,0.4549999833106994
eslamxm/vit-base-food101,0.6,0.8100000023841858
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.595,0.5
Ahmed9275/ALL-3,0.595,0.0149999996647238
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5900000000000001,0.3149999976158142
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.585,0.7749999761581421
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.585,0.0199999995529651
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5800000000000001,0.0399999991059303
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.575,0.0249999985098838
microsoft/swin-tiny-patch4-window7-224,0.575,0.7999999523162842
facebook/data2vec-vision-base-ft1k,0.565,0.4350000023841858
nielsr/vit-finetuned-eurosat-kornia,0.565,0.85999995470047
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.565,0.2999999821186065
nateraw/vit-age-classifier,0.56,0.7899999618530273
WinKawaks/vit-tiny-patch16-224,0.56,0.7199999690055847
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.56,0.1449999958276748
ismgar01/vit-base-cats-vs-dogs,0.56,0.8199999928474426
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.56,0.0199999995529651
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5549999999999999,0.0149999996647238
nateraw/vit-base-beans-demo,0.5549999999999999,0.7299999594688416
Zayn/VIT_Basic,0.5549999999999999,0.8149999976158142
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5449999999999999,0.0299999993294477
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5449999999999999,0.0099999997764825
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.54,0.0399999991059303
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.54,0.0499999970197677
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.525,0.0399999991059303
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.505,0.0649999976158142
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.495,0.0099999997764825
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.485,0.8349999785423279
Ahmed9275/Vit-Cifar100,0.485,0.6899999976158142
ibombonato/swin-age-classifier,0.48,0.7799999713897705
Ahmed9275/ALL-test,0.47,0.7899999618530273
AkshatSurolia/DeiT-FaceMask-Finetuned,0.47,0.8799999952316284
AykeeSalazar/violation-classification-bantai_vit,0.45499999999999996,0.7999999523162842
johnnydevriese/vit-airplanes,0.43500000000000005,0.6200000047683716
mrm8488/data2vec-base-finetuned-imagenet1k,0.42500000000000004,0.5600000023841858
Matthijs/snacks-classifier,0.42000000000000004,0.0350000001490116
AykeeSalazar/violation-classification-bantai-vit-withES,0.405,0.5099999904632568
facebook/data2vec-vision-base,0.38,0.0099999997764825
akahana/vit-base-cats-vs-dogs,0.37,0.5299999713897705
nickmuchi/vit-base-xray-pneumonia,0.33499999999999996,0.5399999618530273
jadohu/BEiT-finetuned,0.29500000000000004,0.0599999986588954
microsoft/beit-large-patch16-224,0.28500000000000003,0.0249999985098838
nielsr/beit-base-patch16-224,0.27,0.044999998062849
microsoft/beit-base-patch16-224,0.27,0.0249999985098838
microsoft/beit-base-patch16-224-pt22k-ft22k,0.255,0.1400000005960464
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.24,0.7749999761581421
microsoft/beit-large-patch16-224-pt22k-ft22k,0.22499999999999998,0.0399999991059303
nielsr/beit-large-patch16-224-pt22k-ft22k,0.22499999999999998,0.044999998062849
daveni/upside_down_classifier,0.21999999999999997,0.0949999988079071
