model_identifier,1nn_accuracy,ft_accuracy
AkshatSurolia/ViT-FaceMask-Finetuned,0.355,0.5949999690055847
nateraw/pasta-pizza-ravioli,0.35,0.574999988079071
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.32999999999999996,0.5849999785423279
hafidber/anomaly,0.32999999999999996,0.5849999785423279
AkshatSurolia/DeiT-FaceMask-Finetuned,0.32499999999999996,0.5099999904632568
osanseviero/llama-alpaca-guanaco-vicuna,0.31999999999999995,0.5899999737739563
AkshatSurolia/BEiT-FaceMask-Finetuned,0.31999999999999995,0.5550000071525574
nateraw/vit-base-beans-demo-v2,0.31999999999999995,0.5899999737739563
Aftabhussain/Tomato_Leaf_Classifier,0.31499999999999995,0.5849999785423279
nateraw/vit-base-patch16-224-cifar10,0.31000000000000005,0.5550000071525574
smc/electric_2,0.31000000000000005,0.574999988079071
nielsr/vit-finetuned-eurosat-kornia,0.31000000000000005,0.5849999785423279
nateraw/trainer-rare-puppers,0.31000000000000005,0.5649999976158142
SriramSridhar78/sriram-car-classifier,0.31000000000000005,0.5550000071525574
microsoft/swin-base-patch4-window7-224-in22k,0.30500000000000005,0.5
smc/Electric_Pole_with_or_without_transformer,0.30500000000000005,0.5349999666213989
nielsr/beit-base-patch16-224,0.30500000000000005,0.2599999904632568
Amrrs/indian-foods,0.30500000000000005,0.6200000047683716
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.30500000000000005,0.5799999833106995
WinKawaks/vit-small-patch16-224,0.30000000000000004,0.2849999964237213
Neto71/sea_mammals,0.30000000000000004,0.5999999642372131
mmekias/vit-base-beans,0.30000000000000004,0.5849999785423279
microsoft/swin-small-patch4-window7-224,0.30000000000000004,0.5249999761581421
johnnydevriese/vit_beans,0.30000000000000004,0.5999999642372131
microsoft/beit-base-patch16-224,0.30000000000000004,0.2599999904632568
firebolt/llama_or_what,0.30000000000000004,0.2599999904632568
jmarshall/rare-puppers,0.30000000000000004,0.5550000071525574
dimbyTa/rock-challenge-DeiT-solo,0.30000000000000004,0.2599999904632568
davanstrien/deit_flyswot,0.29500000000000004,0.574999988079071
microsoft/swin-large-patch4-window7-224-in22k,0.29500000000000004,0.5699999928474426
ipvikas/rare-puppers,0.29500000000000004,0.550000011920929
Matthijs/snacks-classifier,0.29500000000000004,0.2599999904632568
Amrrs/south-indian-foods,0.29500000000000004,0.5699999928474426
Suzana/new-york-tokyo-london,0.29500000000000004,0.2599999904632568
davanstrien/iiif_manuscript_vit,0.29500000000000004,0.2599999904632568
nateraw/rare-puppers-demo,0.29500000000000004,0.5999999642372131
microsoft/dit-large-finetuned-rvlcdip,0.29000000000000004,0.2599999904632568
microsoft/beit-large-patch16-224,0.29000000000000004,0.2599999904632568
microsoft/beit-large-patch16-224-pt22k,0.29000000000000004,0.2599999904632568
smc/electric_pole_type_classification,0.29000000000000004,0.550000011920929
lewtun/oz-fauna,0.29000000000000004,0.5299999713897705
lazyturtl/blocks,0.29000000000000004,0.6049999594688416
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.29000000000000004,0.2599999904632568
filipafcastro/beer_vs_wine,0.29000000000000004,0.6049999594688416
AykeeSalazar/violation-classification-bantai-vit-withES,0.29000000000000004,0.5550000071525574
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.28500000000000003,0.5699999928474426
facebook/deit-tiny-patch16-224,0.28500000000000003,0.2599999904632568
nateraw/vit-age-classifier,0.28500000000000003,0.5799999833106995
IDEA-CCNL/Taiyi-vit-87M-D,0.28500000000000003,0.429999977350235
osanseviero/llama-alpaca-snake,0.28500000000000003,0.6150000095367432
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.28500000000000003,0.2599999904632568
nateraw/vit-base-food101,0.28500000000000003,0.5600000023841858
flyswot/test,0.28500000000000003,
eren23/pneumonia_test_attempt,0.28500000000000003,0.5649999976158142
black/simple_kitchen,0.28500000000000003,0.5450000166893005
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.28500000000000003,0.4599999785423279
google/vit-base-patch16-224,0.28500000000000003,0.5
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.28500000000000003,0.6100000143051147
hafidber/fruits,0.28500000000000003,0.6049999594688416
microsoft/dit-base-finetuned-rvlcdip,0.28,0.574999988079071
rexoscare/string_instrument_detector,0.28,0.6049999594688416
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.28,0.2599999904632568
jeffboudier/vision-transformers-spain-or-italy-fan,0.28,0.5600000023841858
ajanco/greens,0.28,0.2849999964237213
jjhoffstein/lotr,0.28,0.5349999666213989
Rajaram1996/FacialEmoRecog,0.275,0.5799999833106995
julien-c/hotdog-not-hotdog,0.275,0.6399999856948853
victor/animals-classifier,0.275,0.6100000143051147
firas-spanioli/beer-whisky-wine-detection,0.275,0.6100000143051147
karthiksv/vit-base-beans,0.275,0.5799999833106995
nickmuchi/vit-finetuned-cats-dogs,0.275,0.5799999833106995
hafidber/anomaly2,0.275,0.6049999594688416
karthiksv/vit-base-patch16-224-cifar10,0.275,0.5849999785423279
nateraw/rare-puppers-123,0.275,0.5849999785423279
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.275,0.4599999785423279
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.275,0.5999999642372131
jadohu/BEiT-finetuned,0.275,0.2849999964237213
b25mayank3/shirt_identifier,0.275,0.5799999833106995
nateraw/doggos-lol,0.275,0.6399999856948853
nateraw/rare-puppers-09-04-2021,0.275,0.5399999618530273
mmgyorke/vit-world-landmarks,0.275,0.3299999833106994
microsoft/swin-large-patch4-window7-224,0.27,0.5550000071525574
WinKawaks/vit-tiny-patch16-224,0.27,0.2599999904632568
microsoft/beit-large-patch16-224-pt22k-ft22k,0.27,0.2949999868869781
microsoft/beit-base-patch16-384,0.27,0.2399999946355819
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.27,0.5649999976158142
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.27,0.2599999904632568
smaranjitghose/big-cat-classifier,0.27,0.6049999594688416
godiec/diam,0.27,0.5999999642372131
Ahmed9275/ALL-test,0.27,0.574999988079071
AykeeSalazar/violation-classification-bantai_vit,0.27,0.5450000166893005
Sena/dog,0.27,0.574999988079071
nateraw/donut-or-bagel,0.27,0.5899999737739563
nateraw/rare-puppers-new-auth,0.27,0.5699999928474426
osanseviero/hot_dog_or_sandwich,0.27,0.5899999737739563
