model_identifier,1nn_accuracy,ft_accuracy
Ahmed9275/Vit-Cifar100,0.925,0.9899999499320984
google/vit-large-patch16-224,0.685,0.7199999690055847
google/vit-large-patch32-384,0.64,0.7799999713897705
mustapha/flipped-image-ViT,0.615,0.7999999523162842
nateraw/ex-for-evan,0.61,0.4899999797344208
nielsr/vit-base-patch16-224,0.6,0.7450000047683716
Rajaram1996/FacialEmoRecog,0.595,
IDEA-CCNL/Taiyi-vit-87M-D,0.595,
smc/electric_poles,0.595,0.5149999856948853
google/vit-base-patch16-224,0.595,0.7749999761581421
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.595,0.8100000023841858
NhatPham/vit-base-patch16-224-recylce-ft,0.585,0.75
hafidber/rare-puppers,0.585,0.5199999809265137
osanseviero/llama-horse-zebra,0.5800000000000001,0.4549999833106994
michaelbenayoun/vit-base-beans,0.575,
black/simple_kitchen,0.5700000000000001,0.5099999904632568
Amrrs/south-indian-foods,0.5700000000000001,0.4599999785423279
nateraw/rare-puppers-123,0.5700000000000001,0.5049999952316284
lazyturtl/roomidentifier,0.5700000000000001,0.3949999809265136
smc/electric,0.565,
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.565,0.5899999737739563
mmekias/vit-base-beans,0.565,0.5149999856948853
HHousen/household-rooms,0.565,0.5299999713897705
LorenzoDeMattei/lawn-weeds,0.56,0.4699999988079071
hafidber/fruits,0.56,0.3799999952316284
SriramSridhar78/sriram-car-classifier,0.56,0.5450000166893005
google/vit-base-patch32-384,0.5549999999999999,0.7699999809265137
smaranjitghose/big-cat-classifier,0.5549999999999999,0.4699999988079071
Frodnar/bee-likes,0.5549999999999999,0.5349999666213989
hafidber/anomaly2,0.5549999999999999,0.574999988079071
velociraptor/hugging-doge,0.5549999999999999,0.4599999785423279
hafidber/anomaly,0.5549999999999999,
smc/Electric_Pole_with_or_without_transformer,0.55,0.5049999952316284
smaranjitghose/cricket-baseball-smrn,0.55,0.5
thak123/goan-fish-fry,0.5449999999999999,0.5299999713897705
nateraw/pasta-pizza-ravioli,0.5449999999999999,
hgarg/fruits,0.5449999999999999,0.4650000035762787
nateraw/baked-goods,0.5449999999999999,0.5299999713897705
facebook/deit-base-distilled-patch16-224,0.54,0.6800000071525574
julien-c/hotdog-not-hotdog,0.54,0.5600000023841858
ipvikas/rare-puppers,0.54,0.449999988079071
jeffboudier/vision-transformers-spain-or-italy-fan,0.54,0.5399999618530273
nateraw/huggingpics-package-demo,0.54,0.5600000023841858
johnnydevriese/vliegmachine,0.54,0.5349999666213989
nateraw/pasta-shapes,0.54,0.4899999797344208
nateraw/huggingpics-package-demo-2,0.54,0.5799999833106995
nateraw/vit-base-beans,0.5349999999999999,0.4849999845027923
jasmeen/dogs,0.5349999999999999,0.4949999749660492
ajanco/greens,0.5349999999999999,0.5049999952316284
Symbermine/rare-puppers,0.5349999999999999,0.4549999833106994
jmarshall/rare-puppers,0.5349999999999999,0.5249999761581421
WinKawaks/vit-small-patch16-224,0.53,0.6200000047683716
sreeramajay/pollution,0.53,0.5099999904632568
osanseviero/llama-alpaca-guanaco-vicuna,0.53,
firas-spanioli/beer-whisky-wine-detection,0.53,0.4549999833106994
karthiksv/vit-base-beans,0.53,0.5299999713897705
karthiksv/vit-base-patch16-224-cifar10,0.53,0.5649999976158142
Suzana/new-york-tokyo-london,0.53,0.4849999845027923
thak123/indian-snacks,0.53,0.449999988079071
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.53,0.5550000071525574
lazyturtl/blocks,0.525,0.5450000166893005
Hijazzi/rare-puppers,0.525,0.5450000166893005
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.525,0.5099999904632568
smc/electric_pole_type_classification,0.52,0.4699999988079071
jjhoffstein/lotr,0.52,0.5349999666213989
nateraw/trainer-rare-puppers,0.52,0.4350000023841858
drab/Infrastructures,0.52,0.5099999904632568
eliwill/rare-puppers,0.52,0.4799999892711639
mmgyorke/vit-world-landmarks,0.52,0.4699999988079071
nateraw/vit-base-patch16-224-cifar10,0.515,0.5349999666213989
driboune/skin_type,0.515,0.5049999952316284
Amrrs/indian-foods,0.515,0.4749999940395355
osanseviero/taco_or_what,0.515,
nateraw/rare-puppers,0.51,0.5299999713897705
hgarg/indian-snacks,0.51,0.4050000011920929
suhnylla/planes_airlines,0.51,0.4849999845027923
nateraw/rare-puppers-demo,0.51,0.5099999904632568
nateraw/rare-puppers-new-auth,0.51,0.4699999988079071
osanseviero/llama-alpaca-snake,0.505,0.4149999916553497
Aftabhussain/Tomato_Leaf_Classifier,0.505,0.4899999797344208
Neto71/sea_mammals,0.505,0.5600000023841858
juanfiguera/ice_cream,0.505,0.5249999761581421
osanseviero/hot_dog_or_sandwich,0.505,0.574999988079071
edixo/road_good_damaged_condition,0.5,0.3499999940395355
Giuliano/places,0.5,0.4399999976158142
dog/rare-puppers,0.5,0.5299999713897705
filipafcastro/beer_vs_wine,0.5,0.4650000035762787
vincentclaes/mit-indoor-scenes,0.495,0.4099999964237213
nateraw/donut-or-bagel,0.495,
roydcarlson/grain,0.49,0.4899999797344208
micole66/dwarf-goats,0.49,0.5450000166893005
pierric/ny-cr-fr,0.49,0.4849999845027923
lazyturtl/roomclassifier,0.49,0.4350000023841858
nateraw/rare-puppers-09-04-2021,0.49,0.5450000166893005
nateraw/vit-base-food101,0.485,0.4050000011920929
nickmuchi/vit-finetuned-cats-dogs,0.485,0.4699999988079071
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.485,0.1499999910593032
osanseviero/hugging-geese,0.485,0.3899999856948852
nateraw/denver-nyc-paris,0.48,0.5249999761581421
roschmid/dog-races,0.48,
b25mayank3/shirt_identifier,0.48,0.4699999988079071
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.475,
meame2010/rare-puppers,0.475,0.4350000023841858
nateraw/food,0.47,0.5849999785423279
smc/electric_2,0.47,0.5550000071525574
firebolt/llama_or_what2,0.47,0.3599999845027923
facebook/deit-small-distilled-patch16-224,0.47,0.5450000166893005
firebolt/llama_or_what,0.47,0.5399999618530273
nateraw/doggos-lol,0.47,0.4549999833106994
facebook/deit-small-patch16-224,0.46499999999999997,0.429999977350235
facebook/data2vec-vision-large-ft1k,0.46499999999999997,
gatecitypreservation/architectural_styles,0.46499999999999997,0.4249999821186065
osanseviero/llama-or-potato,0.46499999999999997,0.4899999797344208
lazyturtl/WEC-types,0.46499999999999997,
Sena/flowers,0.46499999999999997,0.550000011920929
lazyturtl/digital,0.46499999999999997,0.4699999988079071
eren23/pneumonia-bielefeld-dl-course,0.46499999999999997,0.5
ibombonato/vit-age-classifier,0.45999999999999996,0.5949999690055847
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.45999999999999996,0.4949999749660492
Sena/dog,0.45999999999999996,0.4350000023841858
vivekRahul/animal_classifier_huggingface,0.45999999999999996,0.4249999821186065
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.45499999999999996,
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.44999999999999996,0.3599999845027923
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.43999999999999995,0.4399999976158142
yangy50/garbage-classification,0.43999999999999995,0.2049999982118606
akahana/asl-vit,0.43999999999999995,0.2599999904632568
facebook/deit-base-patch16-224,0.43999999999999995,0.6399999856948853
abdusahmbzuai/CarViT,0.43999999999999995,0.5099999904632568
rexoscare/string_instrument_detector,0.43500000000000005,0.429999977350235
shivkumarganesh/vision-transformer-fmri-classification-ft,0.43500000000000005,0.5049999952316284
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.43500000000000005,0.6899999976158142
dimbyTa/rock-challenge-ViT-two-by-two,0.43500000000000005,
godiec/diam,0.43000000000000005,0.2649999856948852
Ahmed9275/ALL,0.43000000000000005,0.4699999988079071
eren23/pneumonia_test_attempt,0.42000000000000004,0.5
lewtun/oz-fauna,0.42000000000000004,0.4249999821186065
ferdinand/rare-puppers,0.41500000000000004,0.4749999940395355
davanstrien/deit_flyswot,0.41000000000000003,0.6150000095367432
victor/animals-classifier,0.405,0.3100000023841858
smc/PANDA_ViT,0.405,0.4399999976158142
Ahmed9275/ALL-2,0.4,0.3999999761581421
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.395,0.2299999892711639
iyzg/computer-stuff,0.395,0.3649999797344208
imjeffhi/pokemon_classifier,0.39,0.550000011920929
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.39,0.3549999892711639
Nonem100/Test-Model,0.39,0.4050000011920929
facebook/data2vec-vision-large,0.375,
thapasushil/vit-base-cifar10,0.365,0.3449999988079071
AhmedSayeem/VIT_Basic,0.355,
facebook/deit-tiny-distilled-patch16-224,0.35,0.0999999940395355
nateraw/baseball-stadium-foods,0.35,0.3599999845027923
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.35,0.2849999964237213
nateraw/vit-base-beans-demo-v2,0.33499999999999996,0.1400000005960464
nateraw/vit-base-beans-demo-v3,0.32999999999999996,0.1349999904632568
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.32499999999999996,0.1049999967217445
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.32499999999999996,0.2849999964237213
johnnydevriese/vit_beans,0.32499999999999996,0.429999977350235
matteopilotto/vit-base-patch16-224-in21k-snacks,0.31999999999999995,0.3999999761581421
nateraw/vit-age-classifier,0.31499999999999995,0.5249999761581421
flyswot/test,0.31499999999999995,0.044999998062849
microsoft/swin-large-patch4-window7-224,0.31000000000000005,0.4899999797344208
facebook/deit-tiny-patch16-224,0.31000000000000005,0.0399999991059303
nickmuchi/vit-base-beans,0.29000000000000004,0.324999988079071
davanstrien/iiif_manuscript_vit,0.29000000000000004,0.4050000011920929
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.28500000000000003,0.2999999821186065
facebook/data2vec-vision-base-ft1k,0.275,0.1949999928474426
nateraw/vit-base-cats-vs-dogs,0.27,0.3649999797344208
Ahmed9275/ALL-94.5,0.27,0.4099999964237213
nateraw/planes-trains-automobiles,0.27,0.2699999809265136
ismgar01/vit-base-cats-vs-dogs,0.255,0.2449999898672104
mrm8488/data2vec-base-finetuned-imagenet1k,0.235,0.2649999856948852
nateraw/vit-base-beans-demo,0.235,0.2399999946355819
Ahmed9275/ALL-3,0.22999999999999998,0.0099999997764825
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.22999999999999998,0.3400000035762787
nielsr/vit-finetuned-eurosat-kornia,0.21999999999999997,0.25
Zayn/VIT_Basic,0.21999999999999997,0.1799999922513961
eslamxm/vit-base-food101,0.21499999999999997,
ibombonato/swin-age-classifier,0.21499999999999997,0.1799999922513961
microsoft/swin-small-patch4-window7-224,0.21499999999999997,0.3299999833106994
WinKawaks/vit-tiny-patch16-224,0.20999999999999996,0.1550000011920929
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.19999999999999996,0.0149999996647238
microsoft/swin-base-patch4-window7-224-in22k,0.19499999999999995,0.0249999985098838
microsoft/swin-large-patch4-window7-224-in22k,0.19499999999999995,0.0099999997764825
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.18000000000000005,0.25
microsoft/swin-tiny-patch4-window7-224,0.18000000000000005,0.044999998062849
microsoft/swin-base-patch4-window7-224,0.18000000000000005,0.3999999761581421
AykeeSalazar/violation-classification-bantai_vit,0.17500000000000004,0.199999988079071
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.16500000000000004,0.1700000017881393
nickmuchi/vit-base-xray-pneumonia,0.16500000000000004,0.1400000005960464
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.16500000000000004,0.0049999998882412
AykeeSalazar/violation-classification-bantai-vit-withES,0.16500000000000004,0.1749999970197677
daveni/upside_down_classifier,0.16000000000000003,0.0399999991059303
johnnydevriese/vit-airplanes,0.16000000000000003,0.1749999970197677
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.15000000000000002,0.0149999996647238
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.14500000000000002,0.0049999998882412
jadohu/BEiT-finetuned,0.14500000000000002,0.0350000001490116
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.14,0.0049999998882412
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.135,0.0049999998882412
akahana/vit-base-cats-vs-dogs,0.135,0.1599999964237213
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.135,0.0049999998882412
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.13,0.0049999998882412
Ahmed9275/ALL-test,0.13,0.3849999904632568
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12,0.0199999995529651
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.12,0.0049999998882412
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12,0.0099999997764825
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12,0.0049999998882412
AkshatSurolia/DeiT-FaceMask-Finetuned,0.12,
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.10999999999999999,0.0099999997764825
Matthijs/snacks-classifier,0.10999999999999999,0.0049999998882412
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.09999999999999998,0.0099999997764825
microsoft/beit-large-patch16-224,0.08999999999999997,
microsoft/beit-base-patch16-224-pt22k,0.08499999999999996,0.0099999997764825
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.08499999999999996,0.089999996125698
facebook/data2vec-vision-base,0.07999999999999996,0.0049999998882412
microsoft/beit-base-patch16-224-pt22k-ft22k,0.07999999999999996,0.0299999993294477
microsoft/beit-base-patch16-384,0.07499999999999996,
nielsr/beit-base-patch16-224,0.07499999999999996,0.0199999995529651
microsoft/beit-base-patch16-224,0.07499999999999996,0.0399999991059303
microsoft/beit-large-patch16-224-pt22k-ft22k,0.06499999999999995,
nielsr/beit-large-patch16-224-pt22k-ft22k,0.06499999999999995,
davanstrien/vit_flyswot_test,0.06000000000000005,0.0249999985098838
AkshatSurolia/ViT-FaceMask-Finetuned,0.05500000000000005,0.0249999985098838
microsoft/dit-base-finetuned-rvlcdip,0.050000000000000044,0.0199999995529651
dimbyTa/rock-challenge-DeiT-solo,0.050000000000000044,0.0299999993294477
AkshatSurolia/BEiT-FaceMask-Finetuned,0.030000000000000027,0.0949999988079071
nates-test-org/convit_base,0.030000000000000027,
nates-test-org/convit_tiny,0.030000000000000027,
timm/vit_huge_patch14_224_in21k,0.030000000000000027,
nates-test-org/convit_small,0.030000000000000027,
microsoft/dit-large-finetuned-rvlcdip,0.025000000000000022,
microsoft/beit-large-patch16-224-pt22k,0.025000000000000022,
lysandre/tiny-vit-random,0.020000000000000018,0.0049999998882412
nateraw/test_model_a,0.020000000000000018,0.0049999998882412
hf-internal-testing/tiny-random-vit,0.015000000000000013,0.0049999998882412
dimbyTa/rock-challenge-DeiT-solo-2,0.010000000000000009,0.0
