model_identifier,1nn_accuracy,ft_accuracy
facebook/data2vec-vision-base,0.38,0.1799999922513961
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.31499999999999995,0.6800000071525574
facebook/data2vec-vision-large,0.30500000000000005,0.1949999928474426
microsoft/beit-large-patch16-224-pt22k,0.30500000000000005,0.1349999904632568
microsoft/beit-base-patch16-224-pt22k,0.30000000000000004,0.2049999982118606
nielsr/vit-finetuned-eurosat-kornia,0.29500000000000004,0.7049999833106995
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.29000000000000004,0.0999999940395355
AkshatSurolia/DeiT-FaceMask-Finetuned,0.29000000000000004,0.4949999749660492
AykeeSalazar/violation-classification-bantai-vit-withES,0.29000000000000004,0.574999988079071
hgarg/indian-snacks,0.28500000000000003,0.6449999809265137
osanseviero/llama-alpaca-snake,0.28,0.6100000143051147
nateraw/pasta-pizza-ravioli,0.28,0.5349999666213989
WinKawaks/vit-tiny-patch16-224,0.275,0.1299999952316284
facebook/data2vec-vision-large-ft1k,0.275,0.8849999904632568
AkshatSurolia/ViT-FaceMask-Finetuned,0.275,0.6399999856948853
nates-test-org/convit_base,0.275,
nates-test-org/convit_tiny,0.275,0.0999999940395355
timm/vit_huge_patch14_224_in21k,0.275,
nates-test-org/convit_small,0.275,
nateraw/vit-base-cats-vs-dogs,0.27,0.6100000143051147
davanstrien/vit_flyswot_test,0.27,0.1349999904632568
meame2010/rare-puppers,0.27,0.6299999952316284
AykeeSalazar/violation-classification-bantai_vit,0.265,0.6499999761581421
akahana/vit-base-cats-vs-dogs,0.265,0.6049999594688416
michaelbenayoun/vit-base-beans,0.265,0.6049999594688416
akahana/asl-vit,0.265,0.6699999570846558
nickmuchi/vit-base-xray-pneumonia,0.26,0.6649999618530273
imjeffhi/pokemon_classifier,0.26,0.5149999856948853
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.26,0.6499999761581421
driboune/skin_type,0.26,0.5999999642372131
davanstrien/iiif_manuscript_vit,0.26,0.4849999845027923
nateraw/baked-goods,0.26,0.5649999976158142
osanseviero/hugging-geese,0.26,0.5949999690055847
nateraw/rare-puppers-09-04-2021,0.26,0.5849999785423279
microsoft/dit-base-finetuned-rvlcdip,0.255,0.5199999809265137
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.255,0.6399999856948853
davanstrien/deit_flyswot,0.255,0.0999999940395355
victor/animals-classifier,0.255,0.6049999594688416
nielsr/beit-base-patch16-224,0.255,0.125
nickmuchi/vit-finetuned-cats-dogs,0.255,0.6049999594688416
hgarg/fruits,0.255,0.6649999618530273
Zayn/VIT_Basic,0.255,0.6949999928474426
microsoft/beit-base-patch16-224,0.255,0.125
nateraw/planes-trains-automobiles,0.255,0.7299999594688416
vivekRahul/animal_classifier_huggingface,0.255,0.550000011920929
lazyturtl/digital,0.255,0.675000011920929
nateraw/vit-base-patch16-224-cifar10,0.25,0.4449999928474426
lysandre/tiny-vit-random,0.25,0.125
WinKawaks/vit-small-patch16-224,0.25,0.1799999922513961
Ahmed9275/ALL-94.5,0.25,0.5649999976158142
ibombonato/swin-age-classifier,0.25,0.5099999904632568
smc/electric_pole_type_classification,0.25,0.5949999690055847
shivkumarganesh/vision-transformer-fmri-classification-ft,0.25,0.6399999856948853
firebolt/llama_or_what2,0.25,0.5849999785423279
nateraw/test_model_a,0.25,0.125
iyzg/computer-stuff,0.25,0.6800000071525574
Frodnar/bee-likes,0.25,0.5849999785423279
hf-internal-testing/tiny-random-vit,0.25,0.125
nielsr/vit-base-patch16-224,0.25,0.375
osanseviero/taco_or_what,0.25,0.5799999833106995
smc/Electric_Pole_with_or_without_transformer,0.245,0.625
smc/electric_2,0.245,0.5849999785423279
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.245,0.125
micole66/dwarf-goats,0.245,0.5899999737739563
nateraw/vit-base-beans-demo-v3,0.245,0.6399999856948853
johnnydevriese/vit-airplanes,0.245,0.6850000023841858
ferdinand/rare-puppers,0.245,0.625
nateraw/donut-or-bagel,0.245,0.6049999594688416
google/vit-large-patch16-224,0.24,0.2599999904632568
microsoft/beit-large-patch16-224,0.24,0.1499999910593032
microsoft/beit-base-patch16-384,0.24,0.1949999928474426
microsoft/swin-large-patch4-window7-224-in22k,0.24,0.5600000023841858
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.24,0.125
godiec/diam,0.24,0.6200000047683716
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.24,0.5949999690055847
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.24,0.625
lazyturtl/roomidentifier,0.24,0.6850000023841858
hafidber/anomaly,0.24,0.6399999856948853
jmarshall/rare-puppers,0.24,0.6049999594688416
facebook/deit-base-distilled-patch16-224,0.235,0.4149999916553497
facebook/deit-small-patch16-224,0.235,0.125
facebook/deit-tiny-distilled-patch16-224,0.235,0.3199999928474426
NhatPham/vit-base-patch16-224-recylce-ft,0.235,0.449999988079071
osanseviero/llama-alpaca-guanaco-vicuna,0.235,0.6100000143051147
black/simple_kitchen,0.235,0.6100000143051147
smaranjitghose/cricket-baseball-smrn,0.235,0.5299999713897705
hafidber/anomaly2,0.235,0.6499999761581421
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.235,0.6449999809265137
dimbyTa/rock-challenge-ViT-two-by-two,0.235,0.6349999904632568
abdusahmbzuai/CarViT,0.235,0.5600000023841858
dimbyTa/rock-challenge-DeiT-solo,0.235,0.1049999967217445
facebook/data2vec-vision-base-ft1k,0.22999999999999998,0.6899999976158142
julien-c/hotdog-not-hotdog,0.22999999999999998,0.6399999856948853
IDEA-CCNL/Taiyi-vit-87M-D,0.22999999999999998,0.5149999856948853
rexoscare/string_instrument_detector,0.22999999999999998,0.6800000071525574
osanseviero/llama-horse-zebra,0.22999999999999998,0.6599999666213989
smc/electric_poles,0.22999999999999998,0.625
eren23/pneumonia_test_attempt,0.22999999999999998,0.6399999856948853
Ahmed9275/ALL-test,0.22999999999999998,0.5799999833106995
jeffboudier/vision-transformers-spain-or-italy-fan,0.22999999999999998,0.6349999904632568
nickmuchi/vit-base-beans,0.22999999999999998,0.6599999666213989
Ahmed9275/ALL,0.22999999999999998,0.5999999642372131
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.22999999999999998,0.125
Sena/dog,0.22999999999999998,0.6299999952316284
mmekias/vit-base-beans,0.22999999999999998,0.6399999856948853
google/vit-base-patch16-224,0.22999999999999998,0.5049999952316284
Hijazzi/rare-puppers,0.22999999999999998,0.5699999928474426
b25mayank3/shirt_identifier,0.22999999999999998,0.5849999785423279
microsoft/swin-large-patch4-window7-224,0.22499999999999998,0.3499999940395355
Rajaram1996/FacialEmoRecog,0.22499999999999998,0.6049999594688416
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.22499999999999998,0.6150000095367432
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.22499999999999998,0.125
ibombonato/vit-age-classifier,0.22499999999999998,0.550000011920929
sreeramajay/pollution,0.22499999999999998,0.6549999713897705
eslamxm/vit-base-food101,0.22499999999999998,0.5649999976158142
nateraw/denver-nyc-paris,0.22499999999999998,0.574999988079071
nateraw/rare-puppers,0.22499999999999998,0.6349999904632568
smc/electric,0.22499999999999998,
nateraw/vit-base-beans-demo,0.22499999999999998,0.5999999642372131
Nonem100/Test-Model,0.22499999999999998,0.675000011920929
nateraw/trainer-rare-puppers,0.22499999999999998,0.6349999904632568
suhnylla/planes_airlines,0.22499999999999998,0.5949999690055847
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.22499999999999998,0.4949999749660492
Ahmed9275/Vit-Cifar100,0.22499999999999998,0.4899999797344208
nateraw/rare-puppers-new-auth,0.22499999999999998,0.6449999809265137
hafidber/rare-puppers,0.22499999999999998,0.6899999976158142
AhmedSayeem/VIT_Basic,0.22499999999999998,0.7149999737739563
vincentclaes/mit-indoor-scenes,0.21999999999999997,0.5949999690055847
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21999999999999997,0.125
matteopilotto/vit-base-patch16-224-in21k-snacks,0.21999999999999997,0.6699999570846558
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21999999999999997,0.125
flyswot/test,0.21999999999999997,
LorenzoDeMattei/lawn-weeds,0.21999999999999997,0.574999988079071
roydcarlson/grain,0.21999999999999997,0.5999999642372131
nateraw/ex-for-evan,0.21999999999999997,0.6599999666213989
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.21999999999999997,0.6699999570846558
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21999999999999997,0.125
juanfiguera/ice_cream,0.21999999999999997,0.6850000023841858
microsoft/swin-small-patch4-window7-224,0.21999999999999997,0.5349999666213989
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.21999999999999997,0.5999999642372131
nateraw/rare-puppers-demo,0.21999999999999997,0.6699999570846558
nateraw/vit-base-beans,0.21499999999999997,0.5949999690055847
thak123/goan-fish-fry,0.21499999999999997,0.6549999713897705
osanseviero/llama-or-potato,0.21499999999999997,0.6599999666213989
ismgar01/vit-base-cats-vs-dogs,0.21499999999999997,0.5399999618530273
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.21499999999999997,0.5999999642372131
mrm8488/data2vec-base-finetuned-imagenet1k,0.21499999999999997,0.7299999594688416
jasmeen/dogs,0.21499999999999997,0.5649999976158142
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.21499999999999997,0.6049999594688416
lazyturtl/WEC-types,0.21499999999999997,0.5149999856948853
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.21499999999999997,0.5899999737739563
HHousen/household-rooms,0.21499999999999997,0.6299999952316284
osanseviero/hot_dog_or_sandwich,0.21499999999999997,0.6800000071525574
eren23/pneumonia-bielefeld-dl-course,0.21499999999999997,0.6150000095367432
nateraw/vit-age-classifier,0.20999999999999996,0.6499999761581421
microsoft/beit-large-patch16-224-pt22k-ft22k,0.20999999999999996,0.1850000023841858
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.20999999999999996,0.6399999856948853
ipvikas/rare-puppers,0.20999999999999996,0.5600000023841858
firas-spanioli/beer-whisky-wine-detection,0.20999999999999996,0.6349999904632568
Ahmed9275/ALL-3,0.20999999999999996,0.5799999833106995
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.20999999999999996,0.125
johnnydevriese/vliegmachine,0.20999999999999996,0.6499999761581421
lazyturtl/blocks,0.20999999999999996,0.5999999642372131
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.20999999999999996,0.125
facebook/deit-base-patch16-224,0.20999999999999996,0.4050000011920929
thak123/indian-snacks,0.20999999999999996,0.6449999809265137
johnnydevriese/vit_beans,0.20999999999999996,0.5999999642372131
