model_identifier,1nn_accuracy,ft_accuracy
facebook/data2vec-vision-base-ft1k,0.675,0.7249999642372131
vivekRahul/animal_classifier_huggingface,0.665,0.7099999785423279
Frodnar/bee-likes,0.655,0.7400000095367432
microsoft/swin-large-patch4-window7-224,0.65,0.7249999642372131
facebook/deit-small-patch16-224,0.645,
google/vit-large-patch32-384,0.645,0.6699999570846558
black/simple_kitchen,0.645,0.7049999833106995
NhatPham/vit-base-patch16-224-recylce-ft,0.64,0.7249999642372131
facebook/deit-small-distilled-patch16-224,0.64,0.7249999642372131
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.635,0.7249999642372131
johnnydevriese/vliegmachine,0.63,0.7199999690055847
microsoft/swin-base-patch4-window7-224,0.63,0.7249999642372131
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.63,0.7149999737739563
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.63,0.7450000047683716
facebook/deit-base-distilled-patch16-224,0.625,0.6850000023841858
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.625,0.7299999594688416
edixo/road_good_damaged_condition,0.625,0.7149999737739563
IDEA-CCNL/Taiyi-vit-87M-D,0.625,0.699999988079071
ibombonato/swin-age-classifier,0.625,0.7249999642372131
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.625,0.7299999594688416
Amrrs/indian-foods,0.625,0.7049999833106995
google/vit-base-patch16-224,0.625,0.7249999642372131
hafidber/fruits,0.625,0.7049999833106995
gatecitypreservation/architectural_styles,0.62,0.7450000047683716
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.62,0.7249999642372131
Ahmed9275/ALL-test,0.62,0.7249999642372131
smc/electric,0.62,0.7099999785423279
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.62,0.6599999666213989
Matthijs/snacks-classifier,0.62,0.7249999642372131
velociraptor/hugging-doge,0.62,0.7199999690055847
microsoft/beit-large-patch16-224,0.615,0.7249999642372131
nateraw/vit-base-patch16-224-cifar10,0.615,0.7149999737739563
eren23/pneumonia_test_attempt,0.615,0.73499995470047
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.615,0.7199999690055847
mustapha/flipped-image-ViT,0.615,0.6899999976158142
juanfiguera/ice_cream,0.615,0.73499995470047
lazyturtl/roomidentifier,0.615,0.7199999690055847
dimbyTa/rock-challenge-ViT-two-by-two,0.615,0.6850000023841858
nielsr/vit-base-patch16-224,0.615,0.7249999642372131
osanseviero/taco_or_what,0.615,0.7099999785423279
lazyturtl/digital,0.615,0.7199999690055847
microsoft/swin-large-patch4-window7-224-in22k,0.61,0.7249999642372131
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.61,0.7249999642372131
smc/PANDA_ViT,0.61,0.6949999928474426
nickmuchi/vit-finetuned-cats-dogs,0.61,0.7099999785423279
lazyturtl/WEC-types,0.61,0.6899999976158142
Sena/flowers,0.61,0.7249999642372131
hf-internal-testing/tiny-random-vit,0.61,0.7249999642372131
AykeeSalazar/violation-classification-bantai-vit-withES,0.61,0.6499999761581421
Ahmed9275/Vit-Cifar100,0.61,0.7049999833106995
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.61,0.7249999642372131
nateraw/donut-or-bagel,0.61,0.699999988079071
nateraw/rare-puppers-09-04-2021,0.61,0.6949999928474426
microsoft/swin-base-patch4-window7-224-in22k,0.605,0.7249999642372131
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.605,0.7249999642372131
LorenzoDeMattei/lawn-weeds,0.605,0.7299999594688416
nielsr/beit-base-patch16-224,0.605,0.7249999642372131
godiec/diam,0.605,0.7149999737739563
nateraw/vit-base-beans-demo,0.605,0.6850000023841858
nateraw/vit-base-beans-demo-v3,0.605,0.699999988079071
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.605,0.6850000023841858
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.605,0.7249999642372131
Suzana/new-york-tokyo-london,0.605,0.699999988079071
osanseviero/hugging-geese,0.605,0.7099999785423279
microsoft/beit-base-patch16-224,0.605,0.7249999642372131
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6,0.7249999642372131
mrm8488/data2vec-base-finetuned-imagenet1k,0.6,0.7249999642372131
Ahmed9275/ALL-3,0.6,0.7249999642372131
jasmeen/dogs,0.6,0.7049999833106995
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6,0.7249999642372131
Amrrs/south-indian-foods,0.6,0.7199999690055847
b25mayank3/shirt_identifier,0.6,0.7249999642372131
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.6,0.699999988079071
microsoft/dit-base-finetuned-rvlcdip,0.595,0.7249999642372131
WinKawaks/vit-small-patch16-224,0.595,0.7249999642372131
smc/electric_2,0.595,0.7400000095367432
osanseviero/llama-alpaca-guanaco-vicuna,0.595,0.675000011920929
ipvikas/rare-puppers,0.595,0.7049999833106995
AkshatSurolia/ViT-FaceMask-Finetuned,0.595,0.73499995470047
karthiksv/vit-base-beans,0.595,0.699999988079071
iyzg/computer-stuff,0.595,0.675000011920929
akahana/asl-vit,0.595,0.6949999928474426
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.595,0.6899999976158142
hafidber/anomaly2,0.595,0.699999988079071
karthiksv/vit-base-patch16-224-cifar10,0.595,0.7299999594688416
Sena/dog,0.595,0.7299999594688416
suhnylla/planes_airlines,0.595,0.7450000047683716
Symbermine/rare-puppers,0.595,0.7450000047683716
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.595,0.7299999594688416
HHousen/household-rooms,0.595,0.6850000023841858
firebolt/llama_or_what,0.595,0.7249999642372131
nateraw/rare-puppers-demo,0.595,0.7099999785423279
jmarshall/rare-puppers,0.595,0.7149999737739563
google/vit-base-patch32-384,0.5900000000000001,0.6949999928474426
facebook/data2vec-vision-base,0.5900000000000001,0.7249999642372131
ibombonato/vit-age-classifier,0.5900000000000001,0.6800000071525574
osanseviero/llama-horse-zebra,0.5900000000000001,0.7249999642372131
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5900000000000001,0.7249999642372131
jeffboudier/vision-transformers-spain-or-italy-fan,0.5900000000000001,0.7099999785423279
daveni/upside_down_classifier,0.5900000000000001,0.7249999642372131
michaelbenayoun/vit-base-beans,0.5900000000000001,0.6850000023841858
Ahmed9275/ALL,0.5900000000000001,0.7299999594688416
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.5900000000000001,0.7400000095367432
Hijazzi/rare-puppers,0.5900000000000001,0.6899999976158142
drab/Infrastructures,0.5900000000000001,0.7099999785423279
Rajaram1996/FacialEmoRecog,0.585,0.6850000023841858
smc/Electric_Pole_with_or_without_transformer,0.585,0.7149999737739563
Ahmed9275/ALL-94.5,0.585,0.6899999976158142
driboune/skin_type,0.585,0.7400000095367432
nateraw/pasta-pizza-ravioli,0.585,0.7049999833106995
dog/rare-puppers,0.585,0.7249999642372131
smaranjitghose/big-cat-classifier,0.585,0.7049999833106995
AkshatSurolia/BEiT-FaceMask-Finetuned,0.585,0.7249999642372131
lewtun/oz-fauna,0.585,0.7099999785423279
roschmid/dog-races,0.585,0.7199999690055847
hgarg/fruits,0.585,0.6899999976158142
filipafcastro/beer_vs_wine,0.585,0.7149999737739563
thak123/indian-snacks,0.585,0.7099999785423279
abdusahmbzuai/CarViT,0.585,0.7249999642372131
hafidber/anomaly,0.585,0.7149999737739563
microsoft/dit-large-finetuned-rvlcdip,0.5800000000000001,0.7249999642372131
facebook/data2vec-vision-large,0.5800000000000001,0.7249999642372131
WinKawaks/vit-tiny-patch16-224,0.5800000000000001,0.7249999642372131
lysandre/tiny-vit-random,0.5800000000000001,0.7249999642372131
julien-c/hotdog-not-hotdog,0.5800000000000001,0.7299999594688416
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.5800000000000001,0.675000011920929
shivkumarganesh/vision-transformer-fmri-classification-ft,0.5800000000000001,0.7099999785423279
nateraw/baseball-stadium-foods,0.5800000000000001,0.7099999785423279
nateraw/test_model_a,0.5800000000000001,0.7249999642372131
AykeeSalazar/violation-classification-bantai_vit,0.5800000000000001,0.7099999785423279
nickmuchi/vit-base-beans,0.5800000000000001,0.7049999833106995
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.5800000000000001,0.699999988079071
