model_identifier,1nn_accuracy,ft_accuracy
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.265,0.5899999737739563
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.265,0.7799999713897705
microsoft/swin-small-patch4-window7-224,0.265,0.8100000023841858
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.24,0.0399999991059303
microsoft/swin-large-patch4-window7-224-in22k,0.235,
microsoft/swin-large-patch4-window7-224,0.22499999999999998,0.8100000023841858
Ahmed9275/ALL-3,0.21999999999999997,0.6299999952316284
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21499999999999997,0.7099999785423279
Ahmed9275/ALL-test,0.21499999999999997,0.6899999976158142
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21499999999999997,0.6349999904632568
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21499999999999997,0.4449999928474426
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21499999999999997,0.6899999976158142
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.20999999999999996,0.6549999713897705
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.20499999999999996,0.7249999642372131
Matthijs/snacks-classifier,0.20499999999999996,0.0700000002980232
microsoft/swin-tiny-patch4-window7-224,0.20499999999999996,0.6949999928474426
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.20499999999999996,
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.19999999999999996,0.675000011920929
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.19499999999999995,0.6649999618530273
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.19499999999999995,0.6499999761581421
ibombonato/swin-age-classifier,0.18999999999999995,0.73499995470047
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.17500000000000004,0.4699999988079071
thak123/goan-fish-fry,0.16500000000000004,0.6800000071525574
osanseviero/llama-or-potato,0.16500000000000004,0.6349999904632568
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.16500000000000004,0.550000011920929
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.16000000000000003,0.044999998062849
facebook/data2vec-vision-base,0.15500000000000003,0.0399999991059303
NhatPham/vit-base-patch16-224-recylce-ft,0.15500000000000003,0.0399999991059303
smc/PANDA_ViT,0.15000000000000002,0.5450000166893005
microsoft/swin-base-patch4-window7-224,0.15000000000000002,0.7749999761581421
nateraw/vit-base-beans,0.14500000000000002,0.1949999928474426
nateraw/baked-goods,0.14,0.6049999594688416
microsoft/swin-base-patch4-window7-224-in22k,0.135,0.7849999666213989
eslamxm/vit-base-food101,0.135,0.6549999713897705
davanstrien/iiif_manuscript_vit,0.135,0.6899999976158142
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.13,0.6800000071525574
Rajaram1996/FacialEmoRecog,0.13,0.6899999976158142
michaelbenayoun/vit-base-beans,0.13,
nateraw/huggingpics-package-demo,0.13,0.6200000047683716
mustapha/flipped-image-ViT,0.13,
nateraw/pasta-shapes,0.13,0.7049999833106995
nateraw/huggingpics-package-demo-2,0.13,0.7149999737739563
nielsr/vit-finetuned-eurosat-kornia,0.125,0.6599999666213989
smc/electric_poles,0.125,0.6449999809265137
Frodnar/bee-likes,0.125,0.675000011920929
black/simple_kitchen,0.125,0.5999999642372131
filipafcastro/beer_vs_wine,0.125,0.7099999785423279
nateraw/trainer-rare-puppers,0.125,0.7400000095367432
thak123/indian-snacks,0.125,0.6100000143051147
nateraw/doggos-lol,0.125,0.5949999690055847
velociraptor/hugging-doge,0.125,0.6699999570846558
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.12,0.6699999570846558
rexoscare/string_instrument_detector,0.12,0.675000011920929
nateraw/vit-base-food101,0.12,0.7400000095367432
Amrrs/south-indian-foods,0.12,
johnnydevriese/vit_beans,0.12,0.6449999809265137
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.12,0.6200000047683716
nateraw/rare-puppers-demo,0.12,0.6399999856948853
vivekRahul/animal_classifier_huggingface,0.12,0.6200000047683716
meame2010/rare-puppers,0.12,0.4849999845027923
microsoft/dit-large-finetuned-rvlcdip,0.11499999999999999,
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.11499999999999999,0.6699999570846558
imjeffhi/pokemon_classifier,0.11499999999999999,
IDEA-CCNL/Taiyi-vit-87M-D,0.11499999999999999,0.6549999713897705
victor/animals-classifier,0.11499999999999999,0.6649999618530273
ismgar01/vit-base-cats-vs-dogs,0.11499999999999999,
godiec/diam,0.11499999999999999,0.5799999833106995
firebolt/llama_or_what2,0.11499999999999999,0.6649999618530273
akahana/vit-base-cats-vs-dogs,0.11499999999999999,0.429999977350235
pierric/ny-cr-fr,0.11499999999999999,0.5099999904632568
juanfiguera/ice_cream,0.11499999999999999,0.6150000095367432
google/vit-base-patch16-224,0.11499999999999999,0.6200000047683716
HHousen/household-rooms,0.11499999999999999,0.5649999976158142
microsoft/beit-large-patch16-224,0.10999999999999999,
smc/Electric_Pole_with_or_without_transformer,0.10999999999999999,0.675000011920929
yangy50/garbage-classification,0.10999999999999999,0.7249999642372131
osanseviero/llama-horse-zebra,0.10999999999999999,0.5649999976158142
Giuliano/places,0.10999999999999999,0.7400000095367432
jeffboudier/vision-transformers-spain-or-italy-fan,0.10999999999999999,0.7099999785423279
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.10999999999999999,0.6599999666213989
johnnydevriese/vliegmachine,0.10999999999999999,0.6800000071525574
facebook/deit-base-patch16-224,0.10999999999999999,0.7199999690055847
lazyturtl/roomidentifier,0.10999999999999999,0.3449999988079071
hafidber/fruits,0.10999999999999999,0.6549999713897705
nateraw/rare-puppers-new-auth,0.10999999999999999,0.6649999618530273
nielsr/vit-base-patch16-224,0.10999999999999999,0.5399999618530273
hafidber/rare-puppers,0.10999999999999999,0.6599999666213989
facebook/deit-small-patch16-224,0.10499999999999998,0.6549999713897705
gatecitypreservation/architectural_styles,0.10499999999999998,0.574999988079071
smc/electric_pole_type_classification,0.10499999999999998,0.7149999737739563
LorenzoDeMattei/lawn-weeds,0.10499999999999998,0.7400000095367432
roydcarlson/grain,0.10499999999999998,0.7799999713897705
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.10499999999999998,0.4350000023841858
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.10499999999999998,0.7149999737739563
Ahmed9275/ALL,0.10499999999999998,0.6549999713897705
micole66/dwarf-goats,0.10499999999999998,0.6349999904632568
mmekias/vit-base-beans,0.10499999999999998,0.6599999666213989
nateraw/donut-or-bagel,0.10499999999999998,0.699999988079071
osanseviero/hot_dog_or_sandwich,0.10499999999999998,0.3149999976158142
smc/electric_2,0.09999999999999998,0.625
shivkumarganesh/vision-transformer-fmri-classification-ft,0.09999999999999998,0.675000011920929
nateraw/pasta-pizza-ravioli,0.09999999999999998,0.6899999976158142
mrm8488/data2vec-base-finetuned-imagenet1k,0.09999999999999998,0.375
smaranjitghose/big-cat-classifier,0.09999999999999998,0.5249999761581421
Amrrs/indian-foods,0.09999999999999998,0.7099999785423279
smaranjitghose/cricket-baseball-smrn,0.09999999999999998,
Nonem100/Test-Model,0.09999999999999998,
nateraw/rare-puppers-09-04-2021,0.09999999999999998,0.7400000095367432
osanseviero/taco_or_what,0.09999999999999998,0.5450000166893005
mmgyorke/vit-world-landmarks,0.09999999999999998,0.6349999904632568
abdusahmbzuai/CarViT,0.09999999999999998,0.6349999904632568
eren23/pneumonia-bielefeld-dl-course,0.09999999999999998,0.5299999713897705
facebook/deit-tiny-patch16-224,0.09499999999999997,0.6499999761581421
julien-c/hotdog-not-hotdog,0.09499999999999997,0.6649999618530273
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.09499999999999997,0.6949999928474426
osanseviero/llama-alpaca-guanaco-vicuna,0.09499999999999997,0.75
matteopilotto/vit-base-patch16-224-in21k-snacks,0.09499999999999997,0.6899999976158142
nateraw/rare-puppers,0.09499999999999997,0.7199999690055847
AkshatSurolia/DeiT-FaceMask-Finetuned,0.09499999999999997,
Neto71/sea_mammals,0.09499999999999997,0.6200000047683716
dimbyTa/rock-challenge-ViT-two-by-two,0.09499999999999997,0.699999988079071
johnnydevriese/vit-airplanes,0.09499999999999997,0.5249999761581421
Zayn/VIT_Basic,0.09499999999999997,0.7049999833106995
firebolt/llama_or_what,0.09499999999999997,0.6299999952316284
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.09499999999999997,0.429999977350235
microsoft/dit-base-finetuned-rvlcdip,0.08999999999999997,0.0399999991059303
google/vit-large-patch32-384,0.08999999999999997,0.0399999991059303
nateraw/vit-age-classifier,0.08999999999999997,
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.08999999999999997,0.0649999976158142
vincentclaes/mit-indoor-scenes,0.08999999999999997,0.5649999976158142
sreeramajay/pollution,0.08999999999999997,0.699999988079071
dog/rare-puppers,0.08999999999999997,0.7199999690055847
karthiksv/vit-base-beans,0.08999999999999997,
eren23/pneumonia_test_attempt,0.08999999999999997,0.7400000095367432
AkshatSurolia/BEiT-FaceMask-Finetuned,0.08999999999999997,0.1899999976158142
Ahmed9275/ALL-2,0.08999999999999997,0.7249999642372131
smc/electric,0.08999999999999997,
nateraw/vit-base-beans-demo,0.08999999999999997,0.5899999737739563
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.08999999999999997,0.7099999785423279
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.08999999999999997,0.699999988079071
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.08999999999999997,0.625
hafidber/anomaly2,0.08999999999999997,0.4599999785423279
lazyturtl/blocks,0.08999999999999997,
karthiksv/vit-base-patch16-224-cifar10,0.08999999999999997,
hgarg/indian-snacks,0.08999999999999997,0.8100000023841858
osanseviero/hugging-geese,0.08999999999999997,0.5799999833106995
lazyturtl/roomclassifier,0.08999999999999997,0.6349999904632568
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.08999999999999997,0.6800000071525574
b25mayank3/shirt_identifier,0.08999999999999997,0.6949999928474426
AhmedSayeem/VIT_Basic,0.08999999999999997,0.6899999976158142
facebook/deit-tiny-distilled-patch16-224,0.08499999999999996,0.75
driboune/skin_type,0.08499999999999996,
AkshatSurolia/ViT-FaceMask-Finetuned,0.08499999999999996,0.6599999666213989
firas-spanioli/beer-whisky-wine-detection,0.08499999999999996,0.6800000071525574
lewtun/oz-fauna,0.08499999999999996,0.7099999785423279
roschmid/dog-races,0.08499999999999996,0.7799999713897705
lazyturtl/WEC-types,0.08499999999999996,0.699999988079071
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.08499999999999996,0.7249999642372131
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.08499999999999996,
jjhoffstein/lotr,0.08499999999999996,0.73499995470047
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.08499999999999996,0.625
Ahmed9275/Vit-Cifar100,0.08499999999999996,
eliwill/rare-puppers,0.08499999999999996,0.6049999594688416
davanstrien/deit_flyswot,0.07999999999999996,0.7099999785423279
microsoft/beit-base-patch16-224-pt22k,0.07999999999999996,0.0549999997019767
WinKawaks/vit-tiny-patch16-224,0.07999999999999996,0.0399999991059303
nateraw/vit-base-patch16-224-cifar10,0.07999999999999996,0.73499995470047
facebook/data2vec-vision-large-ft1k,0.07999999999999996,0.0399999991059303
nateraw/food,0.07999999999999996,
lysandre/tiny-vit-random,0.07999999999999996,0.0399999991059303
WinKawaks/vit-small-patch16-224,0.07999999999999996,0.3149999976158142
ipvikas/rare-puppers,0.07999999999999996,0.7599999904632568
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.07999999999999996,0.0399999991059303
flyswot/test,0.07999999999999996,
nateraw/test_model_a,0.07999999999999996,0.0399999991059303
jasmeen/dogs,0.07999999999999996,0.6150000095367432
daveni/upside_down_classifier,0.07999999999999996,0.3999999761581421
hgarg/fruits,0.07999999999999996,
Aftabhussain/Tomato_Leaf_Classifier,0.07999999999999996,0.5849999785423279
nateraw/ex-for-evan,0.07999999999999996,0.6599999666213989
thapasushil/vit-base-cifar10,0.07999999999999996,0.574999988079071
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.07999999999999996,0.6899999976158142
Sena/flowers,0.07999999999999996,
Suzana/new-york-tokyo-london,0.07999999999999996,0.6899999976158142
microsoft/beit-base-patch16-224-pt22k-ft22k,0.07999999999999996,0.0399999991059303
drab/Infrastructures,0.07999999999999996,0.6399999856948853
nateraw/planes-trains-automobiles,0.07999999999999996,0.6299999952316284
hafidber/anomaly,0.07999999999999996,0.4849999845027923
nateraw/vit-base-cats-vs-dogs,0.07499999999999996,0.574999988079071
nickmuchi/vit-base-xray-pneumonia,0.07499999999999996,0.6299999952316284
edixo/road_good_damaged_condition,0.07499999999999996,0.6049999594688416
Ahmed9275/ALL-94.5,0.07499999999999996,0.6349999904632568
nates-test-org/convit_base,0.07499999999999996,0.0399999991059303
nates-test-org/convit_tiny,0.07499999999999996,0.0399999991059303
timm/vit_huge_patch14_224_in21k,0.07499999999999996,0.0399999991059303
AykeeSalazar/violation-classification-bantai_vit,0.07499999999999996,0.7149999737739563
ajanco/greens,0.07499999999999996,
nateraw/rare-puppers-123,0.07499999999999996,0.5799999833106995
nates-test-org/convit_small,0.07499999999999996,0.0399999991059303
hf-internal-testing/tiny-random-vit,0.07499999999999996,0.0399999991059303
facebook/deit-small-distilled-patch16-224,0.07499999999999996,0.6649999618530273
suhnylla/planes_airlines,0.07499999999999996,0.6299999952316284
Symbermine/rare-puppers,0.07499999999999996,0.5849999785423279
AykeeSalazar/violation-classification-bantai-vit-withES,0.07499999999999996,0.6549999713897705
Hijazzi/rare-puppers,0.07499999999999996,0.6549999713897705
ferdinand/rare-puppers,0.07499999999999996,0.550000011920929
lazyturtl/digital,0.07499999999999996,0.7299999594688416
google/vit-large-patch16-224,0.06999999999999995,0.1400000005960464
google/vit-base-patch32-384,0.06999999999999995,0.6150000095367432
microsoft/beit-large-patch16-224-pt22k,0.06999999999999995,
osanseviero/llama-alpaca-snake,0.06999999999999995,0.7249999642372131
nateraw/denver-nyc-paris,0.06999999999999995,0.4549999833106994
nickmuchi/vit-finetuned-cats-dogs,0.06999999999999995,0.7549999952316284
nateraw/vit-base-beans-demo-v3,0.06999999999999995,0.6850000023841858
Sena/dog,0.06999999999999995,0.5
davanstrien/vit_flyswot_test,0.06999999999999995,0.0399999991059303
jmarshall/rare-puppers,0.06999999999999995,0.6649999618530273
dimbyTa/rock-challenge-DeiT-solo,0.06999999999999995,0.0399999991059303
facebook/deit-base-distilled-patch16-224,0.06499999999999995,0.0399999991059303
facebook/data2vec-vision-large,0.06499999999999995,0.8499999642372131
nateraw/baseball-stadium-foods,0.06499999999999995,0.7549999952316284
akahana/asl-vit,0.06499999999999995,0.75
SriramSridhar78/sriram-car-classifier,0.06499999999999995,0.6299999952316284
facebook/data2vec-vision-base-ft1k,0.06000000000000005,0.1649999916553497
iyzg/computer-stuff,0.06000000000000005,0.6850000023841858
microsoft/beit-base-patch16-224,0.06000000000000005,0.0399999991059303
jadohu/BEiT-finetuned,0.06000000000000005,0.0399999991059303
ibombonato/vit-age-classifier,0.05500000000000005,0.6449999809265137
nielsr/beit-large-patch16-224-pt22k-ft22k,0.05500000000000005,
nielsr/beit-base-patch16-224,0.05500000000000005,0.0399999991059303
microsoft/beit-large-patch16-224-pt22k-ft22k,0.050000000000000044,
microsoft/beit-base-patch16-384,0.050000000000000044,
nickmuchi/vit-base-beans,0.050000000000000044,0.7249999642372131
dimbyTa/rock-challenge-DeiT-solo-2,0.050000000000000044,
nateraw/vit-base-beans-demo-v2,0.04500000000000004,0.7049999833106995
