model_identifier,1nn_accuracy,ft_accuracy
facebook/data2vec-vision-large,0.31000000000000005,
facebook/deit-base-distilled-patch16-224,0.29500000000000004,0.5249999761581421
Amrrs/south-indian-foods,0.29500000000000004,0.3899999856948852
google/vit-large-patch16-224,0.29000000000000004,0.2249999940395355
microsoft/beit-large-patch16-224-pt22k-ft22k,0.29000000000000004,
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.29000000000000004,0.2249999940395355
nielsr/beit-large-patch16-224-pt22k-ft22k,0.29000000000000004,
Ahmed9275/ALL-94.5,0.28500000000000003,0.4749999940395355
black/simple_kitchen,0.28500000000000003,0.4449999928474426
nateraw/baked-goods,0.28500000000000003,0.4249999821186065
nateraw/donut-or-bagel,0.28500000000000003,0.4650000035762787
facebook/data2vec-vision-large-ft1k,0.28,
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.28,0.4849999845027923
mustapha/flipped-image-ViT,0.28,
smc/electric_poles,0.275,0.429999977350235
pierric/ny-cr-fr,0.275,0.4449999928474426
AkshatSurolia/DeiT-FaceMask-Finetuned,0.275,
facebook/deit-tiny-patch16-224,0.27,0.2899999916553497
gatecitypreservation/architectural_styles,0.27,0.4149999916553497
driboune/skin_type,0.27,0.4199999868869781
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.27,0.4699999988079071
Frodnar/bee-likes,0.27,0.4149999916553497
smaranjitghose/cricket-baseball-smrn,0.27,0.4749999940395355
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.27,0.4799999892711639
facebook/deit-small-distilled-patch16-224,0.27,0.5249999761581421
osanseviero/hot_dog_or_sandwich,0.27,0.429999977350235
julien-c/hotdog-not-hotdog,0.265,0.4849999845027923
eslamxm/vit-base-food101,0.265,0.4449999928474426
flyswot/test,0.265,0.3649999797344208
nateraw/vit-base-beans-demo-v2,0.265,0.4699999988079071
microsoft/beit-large-patch16-224,0.26,
nateraw/vit-base-patch16-224-cifar10,0.26,0.4799999892711639
sreeramajay/pollution,0.26,0.429999977350235
Giuliano/places,0.26,0.449999988079071
smaranjitghose/big-cat-classifier,0.26,0.449999988079071
Zayn/VIT_Basic,0.26,0.4149999916553497
rexoscare/string_instrument_detector,0.255,0.4249999821186065
firas-spanioli/beer-whisky-wine-detection,0.255,0.5
smc/electric,0.255,
jadohu/BEiT-finetuned,0.255,0.2599999904632568
eliwill/rare-puppers,0.255,0.4399999976158142
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.255,0.4099999964237213
nickmuchi/vit-base-xray-pneumonia,0.25,0.4549999833106994
facebook/deit-tiny-distilled-patch16-224,0.25,0.324999988079071
imjeffhi/pokemon_classifier,0.25,0.4549999833106994
LorenzoDeMattei/lawn-weeds,0.25,0.4650000035762787
godiec/diam,0.25,0.4599999785423279
iyzg/computer-stuff,0.25,0.4249999821186065
nateraw/vit-base-beans-demo-v3,0.25,0.4399999976158142
lazyturtl/blocks,0.25,0.4449999928474426
facebook/deit-base-patch16-224,0.25,0.4749999940395355
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.25,0.4799999892711639
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.25,0.4149999916553497
HHousen/household-rooms,0.25,0.5049999952316284
b25mayank3/shirt_identifier,0.25,0.4350000023841858
ferdinand/rare-puppers,0.25,0.4149999916553497
nielsr/vit-base-patch16-224,0.25,0.429999977350235
AhmedSayeem/VIT_Basic,0.25,0.4449999928474426
facebook/deit-small-patch16-224,0.245,0.3549999892711639
WinKawaks/vit-tiny-patch16-224,0.245,0.209999993443489
edixo/road_good_damaged_condition,0.245,0.429999977350235
IDEA-CCNL/Taiyi-vit-87M-D,0.245,
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.245,0.4199999868869781
osanseviero/llama-alpaca-snake,0.245,0.4449999928474426
ipvikas/rare-puppers,0.245,
smc/electric_pole_type_classification,0.245,0.4249999821186065
Ahmed9275/ALL-3,0.245,0.2249999940395355
Ahmed9275/ALL-2,0.245,0.449999988079071
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.245,0.4149999916553497
akahana/asl-vit,0.245,0.4849999845027923
Aftabhussain/Tomato_Leaf_Classifier,0.245,
Matthijs/snacks-classifier,0.245,0.2249999940395355
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.245,0.429999977350235
juanfiguera/ice_cream,0.245,0.4799999892711639
mmekias/vit-base-beans,0.245,0.4399999976158142
nateraw/rare-puppers-123,0.245,
google/vit-base-patch16-224,0.245,0.429999977350235
Hijazzi/rare-puppers,0.245,0.4149999916553497
osanseviero/taco_or_what,0.245,
nateraw/food,0.24,0.4699999988079071
WinKawaks/vit-small-patch16-224,0.24,0.4050000011920929
victor/animals-classifier,0.24,0.4549999833106994
Amrrs/indian-foods,0.24,0.4249999821186065
nateraw/rare-puppers,0.24,0.4749999940395355
nateraw/ex-for-evan,0.24,0.4050000011920929
thak123/indian-snacks,0.24,
drab/Infrastructures,0.24,0.4050000011920929
nateraw/rare-puppers-new-auth,0.24,0.5
velociraptor/hugging-doge,0.24,
nateraw/vit-base-beans,0.235,0.449999988079071
osanseviero/llama-alpaca-guanaco-vicuna,0.235,0.4249999821186065
AkshatSurolia/ViT-FaceMask-Finetuned,0.235,0.2599999904632568
nielsr/vit-finetuned-eurosat-kornia,0.235,0.429999977350235
jeffboudier/vision-transformers-spain-or-italy-fan,0.235,0.3849999904632568
roschmid/dog-races,0.235,0.4099999964237213
thapasushil/vit-base-cifar10,0.235,0.429999977350235
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.235,0.2249999940395355
microsoft/swin-base-patch4-window7-224,0.235,
dimbyTa/rock-challenge-ViT-two-by-two,0.235,0.4749999940395355
nateraw/doggos-lol,0.235,0.4249999821186065
microsoft/beit-base-patch16-224-pt22k,0.22999999999999998,0.2249999940395355
google/vit-large-patch32-384,0.22999999999999998,0.2249999940395355
thak123/goan-fish-fry,0.22999999999999998,0.4799999892711639
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.22999999999999998,0.2249999940395355
nielsr/beit-base-patch16-224,0.22999999999999998,0.2349999994039535
jasmeen/dogs,0.22999999999999998,0.449999988079071
johnnydevriese/vliegmachine,0.22999999999999998,0.429999977350235
osanseviero/hugging-geese,0.22999999999999998,0.4199999868869781
Symbermine/rare-puppers,0.22999999999999998,0.4350000023841858
johnnydevriese/vit_beans,0.22999999999999998,0.4599999785423279
microsoft/beit-base-patch16-224-pt22k-ft22k,0.22999999999999998,0.2599999904632568
microsoft/beit-base-patch16-224,0.22999999999999998,0.2249999940395355
Ahmed9275/Vit-Cifar100,0.22999999999999998,0.4599999785423279
firebolt/llama_or_what,0.22999999999999998,0.4399999976158142
nateraw/rare-puppers-demo,0.22999999999999998,0.4399999976158142
abdusahmbzuai/CarViT,0.22999999999999998,0.3849999904632568
smc/Electric_Pole_with_or_without_transformer,0.22499999999999998,0.429999977350235
yangy50/garbage-classification,0.22499999999999998,0.4699999988079071
vincentclaes/mit-indoor-scenes,0.22499999999999998,0.5099999904632568
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.22499999999999998,0.2249999940395355
mrm8488/data2vec-base-finetuned-imagenet1k,0.22499999999999998,0.4849999845027923
dog/rare-puppers,0.22499999999999998,0.429999977350235
roydcarlson/grain,0.22499999999999998,
Ahmed9275/ALL-test,0.22499999999999998,0.2800000011920929
nates-test-org/convit_base,0.22499999999999998,
nates-test-org/convit_tiny,0.22499999999999998,
timm/vit_huge_patch14_224_in21k,0.22499999999999998,
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.22499999999999998,0.429999977350235
Nonem100/Test-Model,0.22499999999999998,0.5
Sena/dog,0.22499999999999998,
ajanco/greens,0.22499999999999998,0.4699999988079071
nates-test-org/convit_small,0.22499999999999998,
AykeeSalazar/violation-classification-bantai-vit-withES,0.22499999999999998,0.429999977350235
eren23/pneumonia-bielefeld-dl-course,0.22499999999999998,0.4699999988079071
facebook/data2vec-vision-base,0.21999999999999997,0.3100000023841858
smc/electric_2,0.21999999999999997,0.4549999833106994
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21999999999999997,0.2249999940395355
osanseviero/llama-horse-zebra,0.21999999999999997,0.449999988079071
shivkumarganesh/vision-transformer-fmri-classification-ft,0.21999999999999997,0.5049999952316284
nateraw/pasta-pizza-ravioli,0.21999999999999997,0.4449999928474426
eren23/pneumonia_test_attempt,0.21999999999999997,0.4149999916553497
AkshatSurolia/BEiT-FaceMask-Finetuned,0.21999999999999997,0.2599999904632568
lewtun/oz-fauna,0.21999999999999997,0.4050000011920929
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.21999999999999997,0.4549999833106994
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.21999999999999997,0.4449999928474426
hafidber/anomaly2,0.21999999999999997,0.4149999916553497
Sena/flowers,0.21999999999999997,0.4599999785423279
filipafcastro/beer_vs_wine,0.21999999999999997,0.4249999821186065
jjhoffstein/lotr,0.21999999999999997,
nateraw/planes-trains-automobiles,0.21999999999999997,0.4350000023841858
meame2010/rare-puppers,0.21999999999999997,0.4899999797344208
hafidber/rare-puppers,0.21999999999999997,
google/vit-base-patch32-384,0.21499999999999997,0.5099999904632568
nateraw/vit-age-classifier,0.21499999999999997,0.5399999618530273
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.21499999999999997,0.4599999785423279
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.21499999999999997,0.4399999976158142
smc/PANDA_ViT,0.21499999999999997,0.4699999988079071
osanseviero/llama-or-potato,0.21499999999999997,0.4099999964237213
nateraw/vit-base-food101,0.21499999999999997,0.4249999821186065
nateraw/baseball-stadium-foods,0.21499999999999997,0.429999977350235
firebolt/llama_or_what2,0.21499999999999997,0.5199999809265137
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.21499999999999997,0.2249999940395355
hgarg/indian-snacks,0.21499999999999997,0.4050000011920929
lazyturtl/roomidentifier,0.21499999999999997,0.4149999916553497
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.20999999999999996,0.4549999833106994
microsoft/swin-base-patch4-window7-224-in22k,0.20999999999999996,0.2249999940395355
microsoft/swin-large-patch4-window7-224-in22k,0.20999999999999996,0.3549999892711639
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.20999999999999996,0.2249999940395355
