model_identifier,1nn_accuracy,ft_accuracy
facebook/data2vec-vision-large,0.475,0.0599999986588954
thapasushil/vit-base-cifar10,0.33499999999999996,0.4949999749660492
facebook/deit-base-patch16-224,0.33499999999999996,0.5
firebolt/llama_or_what,0.33499999999999996,0.5
smc/electric_2,0.32999999999999996,0.3949999809265136
micole66/dwarf-goats,0.32499999999999996,0.4799999892711639
facebook/deit-base-distilled-patch16-224,0.31999999999999995,0.5199999809265137
karthiksv/vit-base-beans,0.31999999999999995,
karthiksv/vit-base-patch16-224-cifar10,0.31999999999999995,0.4050000011920929
jjhoffstein/lotr,0.31999999999999995,0.4749999940395355
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.31999999999999995,0.4899999797344208
imjeffhi/pokemon_classifier,0.31499999999999995,
ferdinand/rare-puppers,0.31499999999999995,0.5049999952316284
shivkumarganesh/vision-transformer-fmri-classification-ft,0.31000000000000005,0.5199999809265137
michaelbenayoun/vit-base-beans,0.31000000000000005,0.5299999713897705
AykeeSalazar/violation-classification-bantai-vit-withES,0.31000000000000005,0.3949999809265136
jeffboudier/vision-transformers-spain-or-italy-fan,0.30500000000000005,0.550000011920929
smc/electric,0.30500000000000005,
hafidber/anomaly2,0.30500000000000005,0.4599999785423279
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.30000000000000004,0.4799999892711639
NhatPham/vit-base-patch16-224-recylce-ft,0.30000000000000004,0.5249999761581421
hgarg/fruits,0.30000000000000004,0.5649999976158142
nateraw/donut-or-bagel,0.30000000000000004,0.5199999809265137
hafidber/anomaly,0.30000000000000004,0.4549999833106994
roschmid/dog-races,0.29500000000000004,0.5
akahana/asl-vit,0.29500000000000004,0.5550000071525574
lazyturtl/blocks,0.29500000000000004,
mrm8488/data2vec-base-finetuned-imagenet1k,0.29000000000000004,0.3549999892711639
juanfiguera/ice_cream,0.29000000000000004,0.5149999856948853
b25mayank3/shirt_identifier,0.29000000000000004,0.5049999952316284
smc/electric_poles,0.28500000000000003,0.4650000035762787
Aftabhussain/Tomato_Leaf_Classifier,0.28500000000000003,0.4199999868869781
nateraw/baked-goods,0.28500000000000003,0.4549999833106994
Neto71/sea_mammals,0.28,0.4599999785423279
dimbyTa/rock-challenge-ViT-two-by-two,0.28,0.5299999713897705
jmarshall/rare-puppers,0.28,0.5149999856948853
smc/electric_pole_type_classification,0.275,0.5600000023841858
