model_identifier,1nn_accuracy,ft_accuracy
google/vit-large-patch16-224,0.565,0.6100000143051147
google/vit-large-patch32-384,0.56,0.0249999985098838
microsoft/swin-large-patch4-window7-224,0.5449999999999999,0.6449999809265137
microsoft/swin-large-patch4-window7-224-in22k,0.5449999999999999,0.6449999809265137
Amrrs/indian-foods,0.54,0.5699999928474426
mustapha/flipped-image-ViT,0.54,0.6949999928474426
osanseviero/llama-or-potato,0.5349999999999999,0.5699999928474426
IDEA-CCNL/Taiyi-vit-87M-D,0.53,0.6549999713897705
google/vit-base-patch16-224,0.53,0.6800000071525574
google/vit-base-patch32-384,0.525,0.675000011920929
Suzana/new-york-tokyo-london,0.525,0.574999988079071
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.525,0.6949999928474426
nateraw/huggingpics-package-demo,0.52,0.5899999737739563
nateraw/pasta-shapes,0.52,0.5849999785423279
nateraw/huggingpics-package-demo-2,0.52,0.6449999809265137
nielsr/vit-base-patch16-224,0.52,0.6649999618530273
mmgyorke/vit-world-landmarks,0.52,0.5849999785423279
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.515,0.5649999976158142
lazyturtl/roomidentifier,0.515,0.5349999666213989
NhatPham/vit-base-patch16-224-recylce-ft,0.51,0.699999988079071
smc/electric_poles,0.51,0.5899999737739563
johnnydevriese/vliegmachine,0.51,
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.51,0.6399999856948853
mmekias/vit-base-beans,0.51,
nateraw/rare-puppers-09-04-2021,0.51,0.625
osanseviero/hot_dog_or_sandwich,0.51,0.5799999833106995
julien-c/hotdog-not-hotdog,0.505,0.550000011920929
sreeramajay/pollution,0.505,0.5949999690055847
LorenzoDeMattei/lawn-weeds,0.505,0.5699999928474426
lazyturtl/digital,0.505,0.5550000071525574
victor/animals-classifier,0.5,0.5199999809265137
rexoscare/string_instrument_detector,0.5,0.5899999737739563
roschmid/dog-races,0.5,0.574999988079071
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5,0.6100000143051147
Amrrs/south-indian-foods,0.5,0.5550000071525574
Sena/dog,0.5,0.574999988079071
jjhoffstein/lotr,0.5,0.5399999618530273
facebook/deit-small-distilled-patch16-224,0.5,0.6150000095367432
velociraptor/hugging-doge,0.5,0.5550000071525574
nateraw/vit-base-beans,0.495,0.6100000143051147
smc/electric_2,0.495,0.5899999737739563
thak123/goan-fish-fry,0.495,0.5349999666213989
driboune/skin_type,0.495,0.5649999976158142
firas-spanioli/beer-whisky-wine-detection,0.495,
nateraw/pasta-pizza-ravioli,0.495,0.6049999594688416
Frodnar/bee-likes,0.495,0.5649999976158142
b25mayank3/shirt_identifier,0.495,0.574999988079071
eren23/pneumonia-bielefeld-dl-course,0.495,0.550000011920929
hafidber/rare-puppers,0.495,
microsoft/swin-base-patch4-window7-224-in22k,0.49,0.6200000047683716
nateraw/vit-base-patch16-224-cifar10,0.49,0.625
lewtun/oz-fauna,0.49,0.5550000071525574
nickmuchi/vit-finetuned-cats-dogs,0.49,0.6049999594688416
jasmeen/dogs,0.49,0.5649999976158142
black/simple_kitchen,0.49,0.5600000023841858
juanfiguera/ice_cream,0.49,0.5849999785423279
nateraw/rare-puppers-123,0.49,0.5600000023841858
osanseviero/hugging-geese,0.49,0.5149999856948853
thak123/indian-snacks,0.49,0.574999988079071
jmarshall/rare-puppers,0.49,
facebook/deit-small-patch16-224,0.485,0.5199999809265137
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.485,0.6200000047683716
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.485,0.5399999618530273
godiec/diam,0.485,0.550000011920929
smc/electric,0.485,0.5899999737739563
micole66/dwarf-goats,0.485,0.5949999690055847
suhnylla/planes_airlines,0.485,0.550000011920929
HHousen/household-rooms,0.485,0.5399999618530273
facebook/deit-base-distilled-patch16-224,0.48,0.6475000083446503
Rajaram1996/FacialEmoRecog,0.48,0.5600000023841858
gatecitypreservation/architectural_styles,0.48,0.5699999928474426
osanseviero/llama-horse-zebra,0.48,0.5799999833106995
osanseviero/llama-alpaca-guanaco-vicuna,0.48,0.5699999928474426
michaelbenayoun/vit-base-beans,0.48,0.6299999952316284
nateraw/ex-for-evan,0.48,0.5450000166893005
Neto71/sea_mammals,0.48,0.5550000071525574
filipafcastro/beer_vs_wine,0.48,0.5249999761581421
nateraw/donut-or-bagel,0.48,0.6449999809265137
nateraw/rare-puppers-demo,0.48,0.5799999833106995
karthiksv/vit-base-beans,0.475,0.5849999785423279
nateraw/denver-nyc-paris,0.475,0.5349999666213989
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.475,0.5450000166893005
akahana/asl-vit,0.475,0.5099999904632568
smaranjitghose/cricket-baseball-smrn,0.475,0.5699999928474426
hafidber/anomaly2,0.475,0.5849999785423279
karthiksv/vit-base-patch16-224-cifar10,0.475,0.5999999642372131
nateraw/trainer-rare-puppers,0.475,0.5299999713897705
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.475,0.5899999737739563
hafidber/anomaly,0.475,0.5600000023841858
smc/Electric_Pole_with_or_without_transformer,0.47,0.5799999833106995
dog/rare-puppers,0.47,0.5699999928474426
smaranjitghose/big-cat-classifier,0.47,0.5600000023841858
jeffboudier/vision-transformers-spain-or-italy-fan,0.47,0.5849999785423279
nateraw/rare-puppers,0.47,0.5949999690055847
Symbermine/rare-puppers,0.47,0.5600000023841858
hafidber/fruits,0.47,0.5699999928474426
Hijazzi/rare-puppers,0.47,0.5649999976158142
davanstrien/deit_flyswot,0.46499999999999997,0.6150000095367432
facebook/deit-tiny-distilled-patch16-224,0.46499999999999997,0.5649999976158142
eren23/pneumonia_test_attempt,0.46499999999999997,0.5399999618530273
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.46499999999999997,0.5299999713897705
Ahmed9275/ALL,0.46499999999999997,0.5450000166893005
facebook/deit-base-patch16-224,0.46499999999999997,0.6100000143051147
lazyturtl/roomclassifier,0.46499999999999997,0.5649999976158142
ferdinand/rare-puppers,0.46499999999999997,0.5899999737739563
osanseviero/taco_or_what,0.46499999999999997,0.5699999928474426
WinKawaks/vit-small-patch16-224,0.45999999999999996,0.6299999952316284
smc/electric_pole_type_classification,0.45999999999999996,0.5399999618530273
nateraw/baseball-stadium-foods,0.45999999999999996,0.4749999940395355
lazyturtl/blocks,0.45999999999999996,0.5849999785423279
drab/Infrastructures,0.45999999999999996,0.550000011920929
vivekRahul/animal_classifier_huggingface,0.45999999999999996,0.5600000023841858
meame2010/rare-puppers,0.45999999999999996,
ibombonato/vit-age-classifier,0.45499999999999996,0.6200000047683716
lazyturtl/WEC-types,0.45499999999999996,0.6649999618530273
Nonem100/Test-Model,0.45499999999999996,0.4899999797344208
hgarg/indian-snacks,0.45499999999999996,0.5600000023841858
microsoft/swin-base-patch4-window7-224,0.45499999999999996,0.6200000047683716
dimbyTa/rock-challenge-ViT-two-by-two,0.45499999999999996,0.5249999761581421
firebolt/llama_or_what,0.45499999999999996,0.5799999833106995
Giuliano/places,0.44999999999999996,0.5299999713897705
hgarg/fruits,0.44999999999999996,0.5349999666213989
Aftabhussain/Tomato_Leaf_Classifier,0.44999999999999996,0.5649999976158142
Sena/flowers,0.44999999999999996,0.574999988079071
ajanco/greens,0.44999999999999996,0.5649999976158142
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.44499999999999995,0.5899999737739563
edixo/road_good_damaged_condition,0.44499999999999995,0.5299999713897705
pierric/ny-cr-fr,0.44499999999999995,0.4599999785423279
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.44499999999999995,0.5299999713897705
nateraw/rare-puppers-new-auth,0.44499999999999995,0.5849999785423279
vincentclaes/mit-indoor-scenes,0.43999999999999995,0.5550000071525574
matteopilotto/vit-base-patch16-224-in21k-snacks,0.43999999999999995,0.5600000023841858
ipvikas/rare-puppers,0.43999999999999995,0.5699999928474426
nateraw/baked-goods,0.43999999999999995,0.550000011920929
nateraw/vit-base-cats-vs-dogs,0.43500000000000005,0.5450000166893005
AhmedSayeem/VIT_Basic,0.43500000000000005,0.5
nateraw/vit-base-food101,0.43000000000000005,0.574999988079071
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.43000000000000005,0.5
nateraw/vit-age-classifier,0.42500000000000004,0.5949999690055847
osanseviero/llama-alpaca-snake,0.42500000000000004,
roydcarlson/grain,0.42500000000000004,0.550000011920929
eliwill/rare-puppers,0.42500000000000004,0.5099999904632568
facebook/data2vec-vision-large,0.42000000000000004,
firebolt/llama_or_what2,0.41500000000000004,0.5849999785423279
Ahmed9275/ALL-2,0.41500000000000004,0.5600000023841858
thapasushil/vit-base-cifar10,0.41500000000000004,0.5799999833106995
nateraw/planes-trains-automobiles,0.41500000000000004,0.5049999952316284
imjeffhi/pokemon_classifier,0.41000000000000003,0.6100000143051147
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.41000000000000003,
nateraw/doggos-lol,0.41000000000000003,0.5699999928474426
shivkumarganesh/vision-transformer-fmri-classification-ft,0.405,0.550000011920929
nateraw/vit-base-beans-demo-v3,0.405,0.5199999809265137
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.405,0.5450000166893005
facebook/deit-tiny-patch16-224,0.4,0.4749999940395355
yangy50/garbage-classification,0.4,0.4749999940395355
flyswot/test,0.4,0.449999988079071
nateraw/food,0.39,0.6299999952316284
smc/PANDA_ViT,0.39,0.5349999666213989
iyzg/computer-stuff,0.39,0.4949999749660492
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.385,0.4799999892711639
abdusahmbzuai/CarViT,0.385,0.625
davanstrien/iiif_manuscript_vit,0.38,0.5049999952316284
microsoft/swin-small-patch4-window7-224,0.38,0.550000011920929
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.375,0.625
Ahmed9275/ALL-94.5,0.375,0.5
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.37,0.4849999845027923
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.37,0.0399999991059303
nielsr/vit-finetuned-eurosat-kornia,0.37,0.5199999809265137
johnnydevriese/vit_beans,0.37,0.574999988079071
Zayn/VIT_Basic,0.37,0.550000011920929
SriramSridhar78/sriram-car-classifier,0.365,0.5649999976158142
ismgar01/vit-base-cats-vs-dogs,0.36,
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.355,0.4599999785423279
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.355,0.5099999904632568
WinKawaks/vit-tiny-patch16-224,0.345,0.4949999749660492
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.345,0.0299999993294477
nateraw/vit-base-beans-demo-v2,0.345,0.4699999988079071
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.345,0.5450000166893005
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.345,0.4549999833106994
johnnydevriese/vit-airplanes,0.345,0.4199999868869781
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.33999999999999997,0.5249999761581421
microsoft/swin-tiny-patch4-window7-224,0.33999999999999997,0.5099999904632568
eslamxm/vit-base-food101,0.33499999999999996,0.574999988079071
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.33499999999999996,0.044999998062849
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.33499999999999996,0.0350000001490116
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.32999999999999996,0.5
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.32999999999999996,0.5049999952316284
akahana/vit-base-cats-vs-dogs,0.32999999999999996,0.429999977350235
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.32999999999999996,0.550000011920929
AykeeSalazar/violation-classification-bantai_vit,0.32499999999999996,0.4849999845027923
nateraw/vit-base-beans-demo,0.31999999999999995,0.5249999761581421
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.31499999999999995,0.0299999993294477
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.31000000000000005,0.0399999991059303
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.31000000000000005,0.4799999892711639
AkshatSurolia/DeiT-FaceMask-Finetuned,0.31000000000000005,
nickmuchi/vit-base-beans,0.30500000000000005,
Ahmed9275/ALL-3,0.30000000000000004,0.5199999809265137
ibombonato/swin-age-classifier,0.28,0.5149999856948853
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.275,0.5199999809265137
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.275,0.4949999749660492
Matthijs/snacks-classifier,0.275,0.5099999904632568
facebook/data2vec-vision-large-ft1k,0.27,
facebook/data2vec-vision-base-ft1k,0.255,0.3349999785423279
AykeeSalazar/violation-classification-bantai-vit-withES,0.255,0.4350000023841858
microsoft/beit-large-patch16-224,0.245,
jadohu/BEiT-finetuned,0.245,0.0649999976158142
nickmuchi/vit-base-xray-pneumonia,0.235,0.3949999809265136
Ahmed9275/Vit-Cifar100,0.235,0.5049999952316284
facebook/data2vec-vision-base,0.22999999999999998,0.1149999946355819
microsoft/beit-large-patch16-224-pt22k-ft22k,0.22999999999999998,
