model_identifier,1nn_accuracy,ft_accuracy
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,1.0,0.959999978542328
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.94,0.0999999940395355
nielsr/vit-finetuned-eurosat-kornia,0.9299999999999999,0.9749999642372132
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.905,0.0999999940395355
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.89,0.0999999940395355
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.87,0.0850000008940696
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.865,0.0999999940395355
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.855,0.3449999988079071
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.85,0.0999999940395355
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.84,0.0999999940395355
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.835,0.0999999940395355
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.835,0.0999999940395355
facebook/deit-base-distilled-patch16-224,0.8200000000000001,0.9249999523162842
facebook/data2vec-vision-large,0.8200000000000001,
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.815,0.2049999982118606
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.815,0.1400000005960464
davanstrien/deit_flyswot,0.81,0.9449999928474426
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.81,0.1149999946355819
WinKawaks/vit-small-patch16-224,0.8,0.9249999523162842
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.8,0.9399999976158142
facebook/deit-base-patch16-224,0.8,0.9350000023841858
google/vit-large-patch32-384,0.795,0.8949999809265137
facebook/deit-tiny-distilled-patch16-224,0.795,0.7999999523162842
lewtun/oz-fauna,0.795,0.9350000023841858
mustapha/flipped-image-ViT,0.795,0.9300000071525574
NhatPham/vit-base-patch16-224-recylce-ft,0.79,0.8899999856948853
iyzg/computer-stuff,0.785,
nielsr/vit-base-patch16-224,0.785,0.9249999523162842
WinKawaks/vit-tiny-patch16-224,0.78,0.2249999940395355
imjeffhi/pokemon_classifier,0.78,0.8999999761581421
gatecitypreservation/architectural_styles,0.78,0.949999988079071
edixo/road_good_damaged_condition,0.78,0.9300000071525574
Ahmed9275/ALL-94.5,0.78,0.8999999761581421
nateraw/vit-age-classifier,0.775,0.9350000023841858
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.775,0.8899999856948853
IDEA-CCNL/Taiyi-vit-87M-D,0.775,0.9099999666213988
Giuliano/places,0.775,0.9199999570846558
google/vit-base-patch16-224,0.775,0.9049999713897704
Zayn/VIT_Basic,0.775,0.959999978542328
AhmedSayeem/VIT_Basic,0.775,0.9199999570846558
facebook/deit-small-patch16-224,0.77,0.7450000047683716
nateraw/food,0.77,0.8999999761581421
osanseviero/llama-horse-zebra,0.77,0.9049999713897704
eslamxm/vit-base-food101,0.77,
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.77,0.9249999523162842
