model_identifier,1nn_accuracy,ft_accuracy
microsoft/swin-large-patch4-window7-224,0.98,0.959999978542328
microsoft/swin-large-patch4-window7-224-in22k,0.975,0.9699999690055848
vincentclaes/mit-indoor-scenes,0.975,0.9249999523162842
johnnydevriese/vliegmachine,0.97,0.9249999523162842
google/vit-large-patch32-384,0.965,0.9449999928474426
WinKawaks/vit-small-patch16-224,0.965,0.9449999928474426
sreeramajay/pollution,0.965,0.9099999666213988
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.965,0.9300000071525574
smaranjitghose/cricket-baseball-smrn,0.965,
nateraw/rare-puppers-123,0.965,0.9449999928474426
google/vit-large-patch16-224,0.96,0.9649999737739564
google/vit-base-patch32-384,0.96,0.98499995470047
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.96,0.9449999928474426
smc/electric_poles,0.96,
nateraw/ex-for-evan,0.96,0.8999999761581421
mustapha/flipped-image-ViT,0.96,0.9749999642372132
Suzana/new-york-tokyo-london,0.96,0.9199999570846558
nateraw/rare-puppers-new-auth,0.96,0.9399999976158142
microsoft/swin-base-patch4-window7-224-in22k,0.955,0.9449999928474426
nateraw/vit-base-patch16-224-cifar10,0.955,0.959999978542328
julien-c/hotdog-not-hotdog,0.955,
IDEA-CCNL/Taiyi-vit-87M-D,0.955,0.98499995470047
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.955,0.9399999976158142
smc/electric,0.955,0.9099999666213988
michaelbenayoun/vit-base-beans,0.955,0.9350000023841858
hafidber/anomaly2,0.955,0.9449999928474426
google/vit-base-patch16-224,0.955,0.9799999594688416
thak123/indian-snacks,0.955,
lazyturtl/roomclassifier,0.955,0.9300000071525574
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.955,0.9649999737739564
b25mayank3/shirt_identifier,0.955,0.9249999523162842
ferdinand/rare-puppers,0.955,0.9149999618530272
nateraw/donut-or-bagel,0.955,0.9300000071525574
