model_identifier,1nn_accuracy,ft_accuracy
facebook/deit-base-distilled-patch16-224,0.665,0.8549999594688416
facebook/deit-tiny-distilled-patch16-224,0.65,0.5450000166893005
microsoft/swin-base-patch4-window7-224-in22k,0.645,0.85999995470047
google/vit-base-patch32-384,0.64,0.8700000047683716
facebook/deit-small-distilled-patch16-224,0.635,0.8299999833106995
google/vit-large-patch16-224,0.615,0.7649999856948853
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.615,0.3999999761581421
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.605,0.3949999809265136
microsoft/swin-base-patch4-window7-224,0.605,0.8299999833106995
davanstrien/deit_flyswot,0.6,0.8349999785423279
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6,0.3149999976158142
microsoft/swin-large-patch4-window7-224-in22k,0.595,0.8499999642372131
edixo/road_good_damaged_condition,0.595,0.8100000023841858
ismgar01/vit-base-cats-vs-dogs,0.5900000000000001,0.824999988079071
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5900000000000001,0.8399999737739563
Ahmed9275/Vit-Cifar100,0.5900000000000001,0.7999999523162842
microsoft/swin-large-patch4-window7-224,0.585,
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.585,0.4399999976158142
facebook/deit-small-patch16-224,0.575,0.824999988079071
Ahmed9275/ALL-3,0.575,0.5299999713897705
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.565,0.3149999976158142
flyswot/test,0.56,
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.56,0.5149999856948853
facebook/deit-base-patch16-224,0.56,0.85999995470047
microsoft/swin-small-patch4-window7-224,0.56,0.8449999690055847
AykeeSalazar/violation-classification-bantai-vit-withES,0.56,0.699999988079071
facebook/data2vec-vision-base-ft1k,0.5549999999999999,0.8399999737739563
facebook/data2vec-vision-large-ft1k,0.5549999999999999,0.8399999737739563
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5549999999999999,0.3149999976158142
yangy50/garbage-classification,0.5549999999999999,0.8499999642372131
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5549999999999999,0.5049999952316284
mrm8488/data2vec-base-finetuned-imagenet1k,0.55,0.824999988079071
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.55,0.8349999785423279
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.5449999999999999,0.6949999928474426
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.5449999999999999,0.5699999928474426
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.5449999999999999,
Ahmed9275/ALL-test,0.5449999999999999,0.8549999594688416
akahana/vit-base-cats-vs-dogs,0.5449999999999999,0.824999988079071
google/vit-large-patch32-384,0.54,0.3149999976158142
facebook/deit-tiny-patch16-224,0.5349999999999999,0.4350000023841858
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.5349999999999999,0.8849999904632568
hafidber/anomaly,0.5349999999999999,0.8299999833106995
Matthijs/snacks-classifier,0.53,0.3149999976158142
microsoft/beit-base-patch16-224-pt22k,0.525,0.3149999976158142
microsoft/beit-large-patch16-224-pt22k,0.525,0.3149999976158142
nateraw/planes-trains-automobiles,0.525,0.8650000095367432
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.52,0.3149999976158142
ibombonato/swin-age-classifier,0.515,0.8149999976158142
AkshatSurolia/DeiT-FaceMask-Finetuned,0.515,0.7749999761581421
thak123/indian-snacks,0.515,0.8499999642372131
victor/animals-classifier,0.51,0.8299999833106995
iyzg/computer-stuff,0.51,0.8650000095367432
lazyturtl/WEC-types,0.51,0.824999988079071
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.505,0.8149999976158142
Giuliano/places,0.505,0.8549999594688416
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.505,0.8549999594688416
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.505,0.8549999594688416
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.505,0.3149999976158142
abdusahmbzuai/CarViT,0.505,0.8650000095367432
AhmedSayeem/VIT_Basic,0.505,0.85999995470047
facebook/data2vec-vision-base,0.5,0.6899999976158142
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.5,0.8549999594688416
dimbyTa/rock-challenge-ViT-two-by-two,0.5,0.8499999642372131
osanseviero/taco_or_what,0.5,0.85999995470047
jmarshall/rare-puppers,0.5,0.8799999952316284
facebook/data2vec-vision-large,0.495,0.3149999976158142
nateraw/pasta-pizza-ravioli,0.495,0.8799999952316284
hgarg/fruits,0.495,0.8650000095367432
nateraw/vit-base-cats-vs-dogs,0.49,0.7999999523162842
nickmuchi/vit-base-xray-pneumonia,0.49,0.8299999833106995
nielsr/vit-finetuned-eurosat-kornia,0.49,0.8650000095367432
thapasushil/vit-base-cifar10,0.49,0.8799999952316284
smc/electric_2,0.485,0.8499999642372131
AkshatSurolia/ViT-FaceMask-Finetuned,0.485,0.75
nateraw/vit-base-food101,0.485,0.8499999642372131
nateraw/vit-base-beans-demo-v3,0.485,0.8299999833106995
pierric/ny-cr-fr,0.485,0.8499999642372131
hafidber/anomaly2,0.485,0.8399999737739563
ferdinand/rare-puppers,0.485,0.8449999690055847
nateraw/vit-base-patch16-224-cifar10,0.48,0.824999988079071
NhatPham/vit-base-patch16-224-recylce-ft,0.48,0.8549999594688416
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.48,0.8700000047683716
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.48,0.3149999976158142
nateraw/ex-for-evan,0.48,0.8449999690055847
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.48,0.8899999856948853
eren23/pneumonia-bielefeld-dl-course,0.48,0.8449999690055847
Rajaram1996/FacialEmoRecog,0.475,0.8399999737739563
nateraw/vit-age-classifier,0.475,0.8700000047683716
smc/Electric_Pole_with_or_without_transformer,0.475,0.8650000095367432
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.475,0.3599999845027923
ipvikas/rare-puppers,0.475,0.8549999594688416
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.475,0.3149999976158142
firebolt/llama_or_what2,0.475,0.8799999952316284
akahana/asl-vit,0.475,0.8849999904632568
microsoft/swin-tiny-patch4-window7-224,0.475,0.8799999952316284
Zayn/VIT_Basic,0.475,0.8650000095367432
nateraw/donut-or-bagel,0.475,0.9149999618530272
gatecitypreservation/architectural_styles,0.47,0.8650000095367432
eslamxm/vit-base-food101,0.47,0.8949999809265137
smc/electric,0.47,0.8549999594688416
johnnydevriese/vliegmachine,0.47,0.8799999952316284
lazyturtl/roomclassifier,0.47,0.8449999690055847
microsoft/beit-base-patch16-224-pt22k-ft22k,0.47,0.3199999928474426
SriramSridhar78/sriram-car-classifier,0.47,0.8849999904632568
mmgyorke/vit-world-landmarks,0.47,0.8650000095367432
osanseviero/llama-alpaca-guanaco-vicuna,0.46499999999999997,0.8949999809265137
osanseviero/llama-alpaca-snake,0.46499999999999997,0.8700000047683716
nateraw/rare-puppers-123,0.46499999999999997,0.8549999594688416
jadohu/BEiT-finetuned,0.46499999999999997,0.3149999976158142
eliwill/rare-puppers,0.46499999999999997,0.8700000047683716
julien-c/hotdog-not-hotdog,0.45999999999999996,0.8549999594688416
osanseviero/llama-or-potato,0.45999999999999996,0.824999988079071
driboune/skin_type,0.45999999999999996,0.8449999690055847
Nonem100/Test-Model,0.45999999999999996,0.8499999642372131
filipafcastro/beer_vs_wine,0.45999999999999996,0.85999995470047
roschmid/dog-races,0.45499999999999996,0.8549999594688416
Sena/dog,0.45499999999999996,0.8399999737739563
mmekias/vit-base-beans,0.45499999999999996,0.8499999642372131
matteopilotto/vit-base-patch16-224-in21k-snacks,0.44999999999999996,0.8700000047683716
nickmuchi/vit-finetuned-cats-dogs,0.44999999999999996,0.8499999642372131
lazyturtl/blocks,0.44999999999999996,0.8349999785423279
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.44999999999999996,0.9049999713897704
Hijazzi/rare-puppers,0.44999999999999996,0.824999988079071
rexoscare/string_instrument_detector,0.44499999999999995,0.8349999785423279
sreeramajay/pollution,0.44499999999999995,0.875
firas-spanioli/beer-whisky-wine-detection,0.44499999999999995,0.9099999666213988
LorenzoDeMattei/lawn-weeds,0.44499999999999995,0.875
Ahmed9275/ALL-2,0.44499999999999995,0.8650000095367432
micole66/dwarf-goats,0.44499999999999995,0.8549999594688416
Neto71/sea_mammals,0.44499999999999995,0.8349999785423279
juanfiguera/ice_cream,0.44499999999999995,0.8399999737739563
nateraw/baked-goods,0.44499999999999995,0.8499999642372131
suhnylla/planes_airlines,0.44499999999999995,0.8799999952316284
HHousen/household-rooms,0.44499999999999995,0.8650000095367432
drab/Infrastructures,0.44499999999999995,0.8449999690055847
vivekRahul/animal_classifier_huggingface,0.44499999999999995,0.8499999642372131
vincentclaes/mit-indoor-scenes,0.43999999999999995,0.875
dog/rare-puppers,0.43999999999999995,0.8349999785423279
eren23/pneumonia_test_attempt,0.43999999999999995,0.8499999642372131
nateraw/rare-puppers,0.43999999999999995,0.8799999952316284
Frodnar/bee-likes,0.43999999999999995,0.85999995470047
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.43999999999999995,0.8650000095367432
Aftabhussain/Tomato_Leaf_Classifier,0.43999999999999995,0.8349999785423279
jjhoffstein/lotr,0.43999999999999995,0.8399999737739563
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.43999999999999995,0.824999988079071
AkshatSurolia/BEiT-FaceMask-Finetuned,0.43500000000000005,0.6349999904632568
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.43500000000000005,0.8499999642372131
nielsr/vit-base-patch16-224,0.43500000000000005,0.8549999594688416
osanseviero/hot_dog_or_sandwich,0.43500000000000005,0.8349999785423279
lazyturtl/digital,0.43500000000000005,0.8349999785423279
hafidber/rare-puppers,0.43500000000000005,0.8700000047683716
IDEA-CCNL/Taiyi-vit-87M-D,0.43000000000000005,0.824999988079071
smc/PANDA_ViT,0.43000000000000005,0.7999999523162842
shivkumarganesh/vision-transformer-fmri-classification-ft,0.43000000000000005,0.8799999952316284
karthiksv/vit-base-beans,0.43000000000000005,0.8399999737739563
jasmeen/dogs,0.43000000000000005,0.824999988079071
nickmuchi/vit-base-beans,0.43000000000000005,0.85999995470047
mustapha/flipped-image-ViT,0.43000000000000005,0.85999995470047
karthiksv/vit-base-patch16-224-cifar10,0.43000000000000005,0.8549999594688416
Sena/flowers,0.43000000000000005,0.8700000047683716
nateraw/trainer-rare-puppers,0.43000000000000005,0.8549999594688416
google/vit-base-patch16-224,0.43000000000000005,0.8700000047683716
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.43000000000000005,0.875
firebolt/llama_or_what,0.43000000000000005,0.8650000095367432
nateraw/rare-puppers-09-04-2021,0.43000000000000005,0.85999995470047
osanseviero/llama-horse-zebra,0.42500000000000004,0.8299999833106995
davanstrien/iiif_manuscript_vit,0.42500000000000004,0.8549999594688416
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.42500000000000004,0.8449999690055847
nateraw/rare-puppers-new-auth,0.42500000000000004,0.8700000047683716
WinKawaks/vit-small-patch16-224,0.42000000000000004,0.6949999928474426
nielsr/beit-base-patch16-224,0.42000000000000004,0.3149999976158142
roydcarlson/grain,0.42000000000000004,0.875
smaranjitghose/cricket-baseball-smrn,0.42000000000000004,0.8499999642372131
Suzana/new-york-tokyo-london,0.42000000000000004,0.8549999594688416
microsoft/beit-base-patch16-224,0.42000000000000004,0.3199999928474426
ajanco/greens,0.41500000000000004,0.8449999690055847
Symbermine/rare-puppers,0.41500000000000004,0.8199999928474426
lazyturtl/roomidentifier,0.41500000000000004,0.875
WinKawaks/vit-tiny-patch16-224,0.41000000000000003,0.3100000023841858
imjeffhi/pokemon_classifier,0.41000000000000003,0.85999995470047
Ahmed9275/ALL-94.5,0.41000000000000003,0.824999988079071
smc/electric_poles,0.41000000000000003,0.8700000047683716
smaranjitghose/big-cat-classifier,0.41000000000000003,0.8650000095367432
jeffboudier/vision-transformers-spain-or-italy-fan,0.41000000000000003,0.8549999594688416
michaelbenayoun/vit-base-beans,0.41000000000000003,0.8549999594688416
Ahmed9275/ALL,0.41000000000000003,0.8700000047683716
b25mayank3/shirt_identifier,0.41000000000000003,0.85999995470047
nateraw/food,0.405,0.8149999976158142
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.405,0.3149999976158142
nateraw/baseball-stadium-foods,0.405,0.8650000095367432
nateraw/denver-nyc-paris,0.405,0.8549999594688416
nateraw/vit-base-beans-demo,0.405,0.824999988079071
osanseviero/hugging-geese,0.405,0.8199999928474426
thak123/goan-fish-fry,0.4,0.8949999809265137
nateraw/vit-base-beans-demo-v2,0.4,0.875
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.4,0.8499999642372131
hgarg/indian-snacks,0.4,0.8549999594688416
nateraw/rare-puppers-demo,0.4,0.8650000095367432
godiec/diam,0.395,0.8549999594688416
Amrrs/south-indian-foods,0.395,0.8449999690055847
nateraw/doggos-lol,0.395,0.8549999594688416
microsoft/beit-base-patch16-384,0.39,0.3149999976158142
nateraw/vit-base-beans,0.39,0.8399999737739563
ibombonato/vit-age-classifier,0.39,0.8700000047683716
smc/electric_pole_type_classification,0.39,0.8999999761581421
Amrrs/indian-foods,0.39,0.8949999809265137
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.385,0.8449999690055847
AykeeSalazar/violation-classification-bantai_vit,0.385,0.8149999976158142
daveni/upside_down_classifier,0.38,0.7099999785423279
johnnydevriese/vit_beans,0.38,0.8499999642372131
velociraptor/hugging-doge,0.38,0.8499999642372131
meame2010/rare-puppers,0.38,0.8549999594688416
microsoft/dit-base-finetuned-rvlcdip,0.375,0.7749999761581421
lewtun/oz-fauna,0.375,0.8549999594688416
microsoft/dit-large-finetuned-rvlcdip,0.37,0.6899999976158142
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.37,0.8999999761581421
dimbyTa/rock-challenge-DeiT-solo,0.37,0.3149999976158142
nateraw/huggingpics-package-demo,0.365,0.8650000095367432
nateraw/pasta-shapes,0.365,0.85999995470047
nateraw/huggingpics-package-demo-2,0.365,0.875
davanstrien/vit_flyswot_test,0.365,0.3149999976158142
johnnydevriese/vit-airplanes,0.36,0.8449999690055847
dimbyTa/rock-challenge-DeiT-solo-2,0.35,0.3999999761581421
nates-test-org/convit_base,0.345,0.3149999976158142
nates-test-org/convit_tiny,0.345,0.3149999976158142
timm/vit_huge_patch14_224_in21k,0.345,0.3149999976158142
black/simple_kitchen,0.345,0.824999988079071
nates-test-org/convit_small,0.345,0.3149999976158142
hafidber/fruits,0.345,0.8349999785423279
lysandre/tiny-vit-random,0.31999999999999995,0.3149999976158142
nateraw/test_model_a,0.31999999999999995,0.3149999976158142
