model_identifier,1nn_accuracy,ft_accuracy
nateraw/baked-goods,0.8200000000000001,0.8499999642372131
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.79,0.8999999761581421
johnnydevriese/vit-airplanes,0.785,0.8199999928474426
AhmedSayeem/VIT_Basic,0.785,0.8799999952316284
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.775,0.8700000047683716
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.775,0.8399999737739563
nateraw/rare-puppers-123,0.775,
nateraw/doggos-lol,0.775,0.8549999594688416
Rajaram1996/FacialEmoRecog,0.77,0.8650000095367432
nateraw/vit-age-classifier,0.765,0.8700000047683716
ipvikas/rare-puppers,0.765,0.8799999952316284
shivkumarganesh/vision-transformer-fmri-classification-ft,0.765,0.85999995470047
nielsr/vit-finetuned-eurosat-kornia,0.765,0.8700000047683716
smaranjitghose/big-cat-classifier,0.765,0.8799999952316284
davanstrien/vit_flyswot_test,0.765,
lazyturtl/digital,0.765,0.8499999642372131
davanstrien/deit_flyswot,0.76,0.824999988079071
smc/electric_pole_type_classification,0.76,0.85999995470047
nateraw/vit-base-beans-demo-v2,0.76,0.7849999666213989
black/simple_kitchen,0.76,
vivekRahul/animal_classifier_huggingface,0.76,0.8849999904632568
google/vit-large-patch16-224,0.755,0.8100000023841858
microsoft/beit-large-patch16-224-pt22k-ft22k,0.755,
IDEA-CCNL/Taiyi-vit-87M-D,0.755,0.8399999737739563
nateraw/vit-base-food101,0.755,0.85999995470047
nielsr/beit-large-patch16-224-pt22k-ft22k,0.755,
smaranjitghose/cricket-baseball-smrn,0.755,0.8799999952316284
johnnydevriese/vliegmachine,0.755,0.8700000047683716
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.755,0.8349999785423279
juanfiguera/ice_cream,0.755,
google/vit-base-patch16-224,0.755,0.8650000095367432
suhnylla/planes_airlines,0.755,0.8549999594688416
julien-c/hotdog-not-hotdog,0.75,0.8549999594688416
osanseviero/llama-or-potato,0.75,
ismgar01/vit-base-cats-vs-dogs,0.75,0.8549999594688416
lewtun/oz-fauna,0.75,0.8700000047683716
Sena/flowers,0.75,0.8700000047683716
facebook/deit-base-patch16-224,0.75,0.8700000047683716
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.745,0.5249999761581421
thapasushil/vit-base-cifar10,0.745,0.8100000023841858
ajanco/greens,0.745,0.8449999690055847
filipafcastro/beer_vs_wine,0.745,0.875
lazyturtl/roomidentifier,0.745,0.8549999594688416
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.745,0.8700000047683716
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.745,0.875
nateraw/rare-puppers-09-04-2021,0.745,0.875
nateraw/rare-puppers-new-auth,0.745,0.8499999642372131
edixo/road_good_damaged_condition,0.74,0.8650000095367432
Ahmed9275/ALL-94.5,0.74,0.8499999642372131
Giuliano/places,0.74,0.8349999785423279
LorenzoDeMattei/lawn-weeds,0.74,0.8650000095367432
Ahmed9275/ALL-2,0.74,0.8549999594688416
iyzg/computer-stuff,0.74,0.8100000023841858
smc/electric,0.74,0.8650000095367432
Ahmed9275/ALL,0.74,0.8700000047683716
mustapha/flipped-image-ViT,0.74,0.8700000047683716
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.74,0.8849999904632568
osanseviero/hugging-geese,0.74,0.8700000047683716
jmarshall/rare-puppers,0.74,0.8349999785423279
nickmuchi/vit-base-xray-pneumonia,0.735,0.7699999809265137
sreeramajay/pollution,0.735,0.8700000047683716
dog/rare-puppers,0.735,
karthiksv/vit-base-beans,0.735,0.8949999809265137
nateraw/denver-nyc-paris,0.735,0.8849999904632568
nickmuchi/vit-finetuned-cats-dogs,0.735,0.8799999952316284
nateraw/ex-for-evan,0.735,0.85999995470047
hafidber/anomaly2,0.735,0.85999995470047
karthiksv/vit-base-patch16-224-cifar10,0.735,0.8650000095367432
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.735,0.8799999952316284
google/vit-base-patch32-384,0.73,0.7849999666213989
facebook/data2vec-vision-base,0.73,0.675000011920929
nateraw/vit-base-patch16-224-cifar10,0.73,0.824999988079071
firebolt/llama_or_what2,0.73,0.8349999785423279
michaelbenayoun/vit-base-beans,0.73,0.875
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.73,0.8499999642372131
akahana/asl-vit,0.73,0.8899999856948853
pierric/ny-cr-fr,0.73,0.8449999690055847
Sena/dog,0.73,0.85999995470047
nateraw/donut-or-bagel,0.73,0.85999995470047
nielsr/vit-base-patch16-224,0.73,0.8949999809265137
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.725,0.8650000095367432
google/vit-large-patch32-384,0.725,0.8349999785423279
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.725,0.8349999785423279
yangy50/garbage-classification,0.725,0.8650000095367432
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.725,0.4749999940395355
nateraw/baseball-stadium-foods,0.725,0.8499999642372131
roschmid/dog-races,0.725,0.8650000095367432
AykeeSalazar/violation-classification-bantai_vit,0.725,0.8799999952316284
nateraw/trainer-rare-puppers,0.725,0.8349999785423279
facebook/deit-small-distilled-patch16-224,0.725,0.8349999785423279
microsoft/beit-base-patch16-224-pt22k-ft22k,0.725,0.6299999952316284
microsoft/beit-base-patch16-224,0.725,0.5849999785423279
Hijazzi/rare-puppers,0.725,0.8650000095367432
b25mayank3/shirt_identifier,0.725,0.85999995470047
drab/Infrastructures,0.725,0.8449999690055847
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.725,0.8399999737739563
microsoft/beit-large-patch16-224,0.72,
osanseviero/llama-alpaca-snake,0.72,0.8499999642372131
nateraw/pasta-pizza-ravioli,0.72,0.8700000047683716
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.72,0.5249999761581421
nielsr/beit-base-patch16-224,0.72,0.6150000095367432
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.72,0.4749999940395355
jasmeen/dogs,0.72,0.8499999642372131
akahana/vit-base-cats-vs-dogs,0.72,
nateraw/vit-base-beans-demo,0.72,0.8199999928474426
Aftabhussain/Tomato_Leaf_Classifier,0.72,
Symbermine/rare-puppers,0.72,0.8499999642372131
lazyturtl/roomclassifier,0.72,0.8449999690055847
dimbyTa/rock-challenge-ViT-two-by-two,0.72,
SriramSridhar78/sriram-car-classifier,0.72,0.8549999594688416
eliwill/rare-puppers,0.72,0.8499999642372131
osanseviero/hot_dog_or_sandwich,0.72,0.8100000023841858
meame2010/rare-puppers,0.72,
facebook/deit-base-distilled-patch16-224,0.7150000000000001,0.8449999690055847
facebook/data2vec-vision-large,0.7150000000000001,
nateraw/vit-base-cats-vs-dogs,0.7150000000000001,0.8499999642372131
WinKawaks/vit-small-patch16-224,0.7150000000000001,0.6449999809265137
victor/animals-classifier,0.7150000000000001,0.875
vincentclaes/mit-indoor-scenes,0.7150000000000001,0.8700000047683716
matteopilotto/vit-base-patch16-224-in21k-snacks,0.7150000000000001,0.8700000047683716
eslamxm/vit-base-food101,0.7150000000000001,0.8549999594688416
