model_identifier,1nn_accuracy,ft_accuracy
facebook/deit-small-distilled-patch16-224,0.94,
facebook/deit-small-patch16-224,0.91,
facebook/deit-base-distilled-patch16-224,0.895,
facebook/deit-base-patch16-224,0.895,
facebook/deit-tiny-distilled-patch16-224,0.89,
davanstrien/deit_flyswot,0.885,
google/vit-base-patch32-384,0.87,
google/vit-large-patch16-224,0.865,
thak123/goan-fish-fry,0.865,0.9124999642372131
mustapha/flipped-image-ViT,0.86,0.9350000023841858
hgarg/indian-snacks,0.86,0.9149999618530272
microsoft/swin-large-patch4-window7-224,0.855,
smc/electric,0.855,0.8924999833106995
smaranjitghose/cricket-baseball-smrn,0.855,0.9074999690055846
nielsr/vit-base-patch16-224,0.855,0.9099999666213988
WinKawaks/vit-small-patch16-224,0.85,
nateraw/rare-puppers-123,0.85,0.8949999809265137
NhatPham/vit-base-patch16-224-recylce-ft,0.845,
karthiksv/vit-base-beans,0.845,0.9049999713897704
michaelbenayoun/vit-base-beans,0.845,0.8949999809265137
black/simple_kitchen,0.845,0.8725000023841858
karthiksv/vit-base-patch16-224-cifar10,0.845,0.8899999856948853
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.845,0.8899999856948853
facebook/deit-tiny-patch16-224,0.84,
nateraw/vit-base-beans,0.84,
flyswot/test,0.84,
nateraw/rare-puppers-new-auth,0.84,0.8999999761581421
google/vit-large-patch32-384,0.835,
firas-spanioli/beer-whisky-wine-detection,0.835,0.9049999713897704
dog/rare-puppers,0.835,0.8799999952316284
lazyturtl/blocks,0.835,0.8974999785423279
filipafcastro/beer_vs_wine,0.835,0.9099999666213988
hafidber/fruits,0.835,0.8849999904632568
Frodnar/bee-likes,0.83,0.8974999785423279
Neto71/sea_mammals,0.83,0.8849999904632568
Suzana/new-york-tokyo-london,0.83,0.8949999809265137
smc/electric_2,0.825,
IDEA-CCNL/Taiyi-vit-87M-D,0.825,
driboune/skin_type,0.825,
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.825,0.8899999856948853
nateraw/huggingpics-package-demo,0.825,0.8799999952316284
hafidber/anomaly2,0.825,0.875
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.825,0.9149999618530273
juanfiguera/ice_cream,0.825,0.8899999856948853
nateraw/pasta-shapes,0.825,
google/vit-base-patch16-224,0.825,
microsoft/swin-small-patch4-window7-224,0.825,
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.825,0.9149999618530273
nateraw/huggingpics-package-demo-2,0.825,
smc/Electric_Pole_with_or_without_transformer,0.8200000000000001,
lazyturtl/WEC-types,0.8200000000000001,
mmekias/vit-base-beans,0.8200000000000001,0.875
hafidber/anomaly,0.8200000000000001,0.8849999904632568
julien-c/hotdog-not-hotdog,0.815,
nateraw/pasta-pizza-ravioli,0.815,
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,0.815,0.8974999785423279
johnnydevriese/vliegmachine,0.815,0.8924999833106995
thak123/indian-snacks,0.815,0.85999995470047
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.81,
smc/electric_poles,0.81,0.8849999904632568
eren23/pneumonia_test_attempt,0.81,0.8974999785423279
micole66/dwarf-goats,0.81,0.887499988079071
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.81,0.867499977350235
jjhoffstein/lotr,0.81,0.8949999809265137
b25mayank3/shirt_identifier,0.81,0.887499988079071
osanseviero/taco_or_what,0.81,0.8999999761581421
Rajaram1996/FacialEmoRecog,0.8049999999999999,
sreeramajay/pollution,0.8049999999999999,
osanseviero/llama-alpaca-snake,0.8049999999999999,
smc/electric_pole_type_classification,0.8049999999999999,
jeffboudier/vision-transformers-spain-or-italy-fan,0.8049999999999999,0.9099999666213988
SriramSridhar78/sriram-car-classifier,0.8049999999999999,0.8999999761581421
osanseviero/hot_dog_or_sandwich,0.8049999999999999,0.875
mmgyorke/vit-world-landmarks,0.8049999999999999,0.8799999952316284
lazyturtl/digital,0.8049999999999999,0.8849999904632568
hafidber/rare-puppers,0.8049999999999999,0.8799999952316284
facebook/data2vec-vision-large-ft1k,0.8,
nateraw/vit-base-food101,0.8,0.9124999642372131
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.8,0.9174999594688416
ajanco/greens,0.8,0.9049999713897704
lazyturtl/roomidentifier,0.8,0.8899999856948853
drab/Infrastructures,0.8,0.9099999666213988
eliwill/rare-puppers,0.8,0.8799999952316284
firebolt/llama_or_what,0.8,0.8999999761581421
eren23/pneumonia-bielefeld-dl-course,0.8,0.9049999713897704
rexoscare/string_instrument_detector,0.795,
ipvikas/rare-puppers,0.795,
Amrrs/indian-foods,0.795,0.9074999690055846
jasmeen/dogs,0.795,0.8499999642372131
Aftabhussain/Tomato_Leaf_Classifier,0.795,0.8849999904632568
suhnylla/planes_airlines,0.795,0.8824999928474426
LorenzoDeMattei/lawn-weeds,0.79,0.9174999892711639
Sena/flowers,0.79,0.9024999737739563
Symbermine/rare-puppers,0.79,0.8199999928474426
HHousen/household-rooms,0.79,0.8799999952316284
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.79,0.8899999856948853
vincentclaes/mit-indoor-scenes,0.785,0.9049999713897705
Amrrs/south-indian-foods,0.785,0.8899999856948853
nateraw/donut-or-bagel,0.785,
jmarshall/rare-puppers,0.785,0.8799999952316284
roydcarlson/grain,0.78,0.8899999856948853
firebolt/llama_or_what2,0.78,0.8899999856948853
akahana/asl-vit,0.78,0.8949999809265137
dimbyTa/rock-challenge-ViT-two-by-two,0.78,0.8824999928474426
microsoft/swin-base-patch4-window7-224-in22k,0.775,
ibombonato/vit-age-classifier,0.775,0.9124999642372131
osanseviero/llama-alpaca-guanaco-vicuna,0.775,0.9174999594688416
nateraw/baseball-stadium-foods,0.775,0.9124999642372131
nateraw/denver-nyc-paris,0.775,0.8974999785423279
nateraw/rare-puppers,0.775,0.8849999904632568
hgarg/fruits,0.775,0.8999999761581421
Hijazzi/rare-puppers,0.775,0.8999999761581421
nateraw/rare-puppers-09-04-2021,0.775,
gatecitypreservation/architectural_styles,0.77,
nateraw/ex-for-evan,0.77,0.8624999821186066
nateraw/rare-puppers-demo,0.77,0.8899999856948853
velociraptor/hugging-doge,0.77,0.8699999749660492
osanseviero/llama-horse-zebra,0.765,
nateraw/baked-goods,0.765,0.8824999928474426
ferdinand/rare-puppers,0.765,0.8549999594688416
edixo/road_good_damaged_condition,0.76,
osanseviero/llama-or-potato,0.76,0.875
iyzg/computer-stuff,0.76,0.9049999713897705
pierric/ny-cr-fr,0.76,0.8899999856948853
Sena/dog,0.76,0.8899999856948853
lazyturtl/roomclassifier,0.76,0.8949999809265137
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.755,0.8549999594688416
nateraw/food,0.75,
matteopilotto/vit-base-patch16-224-in21k-snacks,0.75,
shivkumarganesh/vision-transformer-fmri-classification-ft,0.75,0.8974999785423279
microsoft/swin-base-patch4-window7-224,0.75,
nateraw/trainer-rare-puppers,0.745,0.8424999713897705
meame2010/rare-puppers,0.745,0.9049999713897704
AhmedSayeem/VIT_Basic,0.745,0.8774999976158142
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.74,0.8999999761581421
johnnydevriese/vit_beans,0.74,0.8700000047683716
microsoft/swin-large-patch4-window7-224-in22k,0.735,
Ahmed9275/ALL-2,0.735,0.8974999785423279
Ahmed9275/ALL,0.735,0.9149999618530272
AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,0.735,0.9174999594688416
abdusahmbzuai/CarViT,0.735,0.8799999952316284
Ahmed9275/ALL-94.5,0.73,
smc/PANDA_ViT,0.73,0.8899999856948853
Giuliano/places,0.73,0.9049999713897704
facebook/data2vec-vision-base-ft1k,0.725,
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.725,0.8949999809265137
Nonem100/Test-Model,0.7150000000000001,0.8724999725818634
davanstrien/iiif_manuscript_vit,0.71,0.9049999713897704
nateraw/doggos-lol,0.71,0.8700000047683716
nickmuchi/vit-finetuned-cats-dogs,0.7050000000000001,0.9324999749660492
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.7050000000000001,0.8725000023841858
yangy50/garbage-classification,0.7,
roschmid/dog-races,0.7,0.8799999952316284
osanseviero/hugging-geese,0.7,0.8924999833106995
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.6950000000000001,
nateraw/vit-base-beans-demo-v2,0.6950000000000001,0.8700000047683716
nateraw/vit-base-beans-demo-v3,0.6950000000000001,0.8700000047683716
imjeffhi/pokemon_classifier,0.69,
lewtun/oz-fauna,0.69,0.8949999809265137
nateraw/vit-base-patch16-224-cifar10,0.685,
victor/animals-classifier,0.6799999999999999,
smaranjitghose/big-cat-classifier,0.6799999999999999,0.8899999856948853
nickmuchi/vit-base-beans,0.6799999999999999,0.8799999952316284
vivekRahul/animal_classifier_huggingface,0.675,0.8499999642372131
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.6699999999999999,0.0749999955296516
nielsr/vit-finetuned-eurosat-kornia,0.665,0.8924999833106995
godiec/diam,0.6599999999999999,0.9049999713897704
Ahmed9275/ALL-3,0.655,
WinKawaks/vit-tiny-patch16-224,0.645,
nateraw/vit-base-cats-vs-dogs,0.64,
thapasushil/vit-base-cifar10,0.635,0.8824999928474426
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.63,
mrm8488/data2vec-base-finetuned-imagenet1k,0.605,
Ahmed9275/ALL-test,0.605,
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.6,
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.595,0.8549999594688416
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5900000000000001,
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5900000000000001,0.4575000014156103
nateraw/planes-trains-automobiles,0.5900000000000001,0.8700000047683716
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.585,
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.5800000000000001,
nateraw/vit-age-classifier,0.575,
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5700000000000001,
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.5700000000000001,
microsoft/swin-tiny-patch4-window7-224,0.5700000000000001,
