model_identifier,1nn_accuracy,ft_accuracy
WinKawaks/vit-small-patch16-224,0.63,0.8050000071525574
nateraw/vit-base-patch16-224-cifar10,0.625,0.75
google/vit-large-patch32-384,0.61,0.0249999985098838
imjeffhi/pokemon_classifier,0.6,0.73499995470047
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.6,0.8349999785423279
osanseviero/llama-or-potato,0.6,0.675000011920929
thak123/indian-snacks,0.6,0.6599999666213989
NhatPham/vit-base-patch16-224-recylce-ft,0.595,0.7799999713897705
mustapha/flipped-image-ViT,0.595,0.7599999904632568
iyzg/computer-stuff,0.5900000000000001,0.6449999809265137
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.5900000000000001,0.6949999928474426
google/vit-base-patch32-384,0.585,0.7549999952316284
smc/electric_pole_type_classification,0.585,0.6899999976158142
hgarg/fruits,0.585,0.7299999594688416
gatecitypreservation/architectural_styles,0.5800000000000001,0.6699999570846558
lazyturtl/WEC-types,0.5800000000000001,0.8399999737739563
godiec/diam,0.575,0.6800000071525574
google/vit-large-patch16-224,0.5700000000000001,0.4249999821186065
roschmid/dog-races,0.5700000000000001,0.6599999666213989
nateraw/rare-puppers-123,0.5700000000000001,0.6599999666213989
lazyturtl/digital,0.5700000000000001,0.6599999666213989
osanseviero/llama-alpaca-snake,0.565,0.6850000023841858
LorenzoDeMattei/lawn-weeds,0.565,0.6399999856948853
jeffboudier/vision-transformers-spain-or-italy-fan,0.565,0.6649999618530273
thapasushil/vit-base-cifar10,0.565,0.6949999928474426
julien-c/hotdog-not-hotdog,0.56,0.6399999856948853
osanseviero/hot_dog_or_sandwich,0.56,0.6800000071525574
jmarshall/rare-puppers,0.56,0.699999988079071
facebook/deit-base-distilled-patch16-224,0.5549999999999999,0.7999999821186066
microsoft/swin-large-patch4-window7-224-in22k,0.5549999999999999,0.5450000166893005
facebook/deit-tiny-distilled-patch16-224,0.5549999999999999,0.7149999737739563
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.5549999999999999,0.675000011920929
firas-spanioli/beer-whisky-wine-detection,0.5549999999999999,0.6399999856948853
Symbermine/rare-puppers,0.5549999999999999,0.6649999618530273
