model_identifier,1nn_accuracy,ft_accuracy
ibombonato/swin-age-classifier,0.16000000000000003,0.0649999976158142
AkshatSurolia/DeiT-FaceMask-Finetuned,0.16000000000000003,
pierric/ny-cr-fr,0.14500000000000002,0.3050000071525574
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.14,0.0749999955296516
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.14,0.0749999955296516
imjeffhi/pokemon_classifier,0.135,0.4749999940395355
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.135,0.0749999955296516
Ahmed9275/ALL-3,0.135,0.0749999955296516
Aftabhussain/Tomato_Leaf_Classifier,0.135,0.3050000071525574
rexoscare/string_instrument_detector,0.13,0.3449999988079071
Ahmed9275/ALL-test,0.13,0.3849999904632568
facebook/data2vec-vision-large,0.125,
Ahmed9275/ALL-94.5,0.125,0.2899999916553497
NhatPham/vit-base-patch16-224-recylce-ft,0.125,
eslamxm/vit-base-food101,0.125,
shivkumarganesh/vision-transformer-fmri-classification-ft,0.125,0.2899999916553497
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.125,0.0749999955296516
Ahmed9275/ALL,0.125,
akahana/asl-vit,0.125,0.4199999868869781
johnnydevriese/vit-airplanes,0.125,
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.12,0.0749999955296516
nateraw/vit-base-beans-demo,0.12,0.2449999898672104
johnnydevriese/vliegmachine,0.12,
facebook/deit-small-distilled-patch16-224,0.12,0.5
johnnydevriese/vit_beans,0.12,
ferdinand/rare-puppers,0.12,
davanstrien/deit_flyswot,0.11499999999999999,
google/vit-large-patch32-384,0.11499999999999999,0.4149999916553497
facebook/deit-tiny-distilled-patch16-224,0.11499999999999999,0.2849999964237213
smc/electric_2,0.11499999999999999,0.2899999916553497
ipvikas/rare-puppers,0.11499999999999999,
daveni/upside_down_classifier,0.11499999999999999,0.1799999922513961
nateraw/huggingpics-package-demo,0.11499999999999999,
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.11499999999999999,0.3349999785423279
mustapha/flipped-image-ViT,0.11499999999999999,
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.11499999999999999,0.2849999964237213
lazyturtl/blocks,0.11499999999999999,
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.11499999999999999,0.0749999955296516
nateraw/pasta-shapes,0.11499999999999999,0.4650000035762787
b25mayank3/shirt_identifier,0.11499999999999999,
nateraw/huggingpics-package-demo-2,0.11499999999999999,0.4650000035762787
nateraw/rare-puppers-new-auth,0.11499999999999999,
google/vit-base-patch32-384,0.10999999999999999,0.4399999976158142
facebook/data2vec-vision-base,0.10999999999999999,0.0599999986588954
