model_identifier,1nn_accuracy,ft_accuracy
microsoft/beit-large-patch16-224-pt22k,0.33999999999999997,
microsoft/beit-base-patch16-224-pt22k,0.32999999999999996,0.125
nates-test-org/convit_base,0.30500000000000005,
nates-test-org/convit_tiny,0.30500000000000005,0.1400000005960464
timm/vit_huge_patch14_224_in21k,0.30500000000000005,
nates-test-org/convit_small,0.30500000000000005,
microsoft/beit-base-patch16-224-pt22k-ft22k,0.30000000000000004,0.1400000005960464
microsoft/beit-base-patch16-384,0.27,
dimbyTa/rock-challenge-DeiT-solo,0.27,0.1400000005960464
hf-internal-testing/tiny-random-vit,0.265,0.1599999964237213
hafidber/anomaly2,0.25,
nateraw/planes-trains-automobiles,0.25,
smc/electric_2,0.245,0.3400000035762787
nielsr/beit-large-patch16-224-pt22k-ft22k,0.24,
nielsr/beit-base-patch16-224,0.24,0.1599999964237213
microsoft/beit-base-patch16-224,0.24,0.0949999988079071
facebook/data2vec-vision-large,0.235,
microsoft/beit-large-patch16-224-pt22k-ft22k,0.235,
microsoft/beit-large-patch16-224,0.22499999999999998,
microsoft/swin-large-patch4-window7-224-in22k,0.22499999999999998,0.1599999964237213
davanstrien/iiif_manuscript_vit,0.22499999999999998,0.3100000023841858
jadohu/BEiT-finetuned,0.22499999999999998,0.1499999910593032
microsoft/swin-large-patch4-window7-224,0.21999999999999997,0.2699999809265136
facebook/data2vec-vision-base-ft1k,0.21999999999999997,0.2849999964237213
lysandre/tiny-vit-random,0.21999999999999997,0.1599999964237213
gatecitypreservation/architectural_styles,0.21999999999999997,
nielsr/vit-finetuned-eurosat-kornia,0.21999999999999997,0.3149999976158142
smc/electric_poles,0.21999999999999997,0.3149999976158142
nateraw/test_model_a,0.21999999999999997,0.1599999964237213
hafidber/anomaly,0.21999999999999997,
microsoft/dit-base-finetuned-rvlcdip,0.21499999999999997,0.1149999946355819
nickmuchi/vit-base-beans,0.21499999999999997,
facebook/data2vec-vision-large-ft1k,0.20999999999999996,
victor/animals-classifier,0.20999999999999996,
Symbermine/rare-puppers,0.20999999999999996,0.3149999976158142
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.20999999999999996,
google/vit-base-patch32-384,0.20499999999999996,
nateraw/vit-age-classifier,0.20499999999999996,
osanseviero/llama-horse-zebra,0.20499999999999996,
osanseviero/llama-alpaca-snake,0.20499999999999996,
shivkumarganesh/vision-transformer-fmri-classification-ft,0.20499999999999996,0.2849999964237213
jeffboudier/vision-transformers-spain-or-italy-fan,0.20499999999999996,0.3599999845027923
roschmid/dog-races,0.20499999999999996,
AykeeSalazar/violation-classification-bantai_vit,0.20499999999999996,0.324999988079071
akahana/asl-vit,0.20499999999999996,
Aftabhussain/Tomato_Leaf_Classifier,0.20499999999999996,
lazyturtl/blocks,0.20499999999999996,
Sena/flowers,0.20499999999999996,
nateraw/rare-puppers-123,0.20499999999999996,0.3700000047683716
microsoft/swin-small-patch4-window7-224,0.20499999999999996,0.209999993443489
lazyturtl/roomidentifier,0.20499999999999996,
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.20499999999999996,
eren23/pneumonia-bielefeld-dl-course,0.20499999999999996,
microsoft/swin-base-patch4-window7-224-in22k,0.19999999999999996,0.1899999976158142
osanseviero/llama-or-potato,0.19999999999999996,0.3100000023841858
daveni/upside_down_classifier,0.19999999999999996,0.2849999964237213
thapasushil/vit-base-cifar10,0.19999999999999996,
johnnydevriese/vit_beans,0.19999999999999996,0.2549999952316284
davanstrien/vit_flyswot_test,0.19999999999999996,
google/vit-large-patch32-384,0.19499999999999995,
nateraw/vit-base-beans,0.19499999999999995,
Giuliano/places,0.19499999999999995,
microsoft/swin-base-patch4-window7-224,0.19499999999999995,
vivekRahul/animal_classifier_huggingface,0.19499999999999995,
google/vit-large-patch16-224,0.18999999999999995,0.1599999964237213
imjeffhi/pokemon_classifier,0.18999999999999995,0.2449999898672104
rexoscare/string_instrument_detector,0.18999999999999995,
smc/electric_pole_type_classification,0.18999999999999995,0.3299999833106994
karthiksv/vit-base-beans,0.18999999999999995,0.3100000023841858
Amrrs/indian-foods,0.18999999999999995,0.2999999821186065
hgarg/fruits,0.18999999999999995,0.3050000071525574
michaelbenayoun/vit-base-beans,0.18999999999999995,
micole66/dwarf-goats,0.18999999999999995,
lazyturtl/WEC-types,0.18999999999999995,0.2949999868869781
karthiksv/vit-base-patch16-224-cifar10,0.18999999999999995,
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.18999999999999995,
nateraw/rare-puppers-new-auth,0.18999999999999995,
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.18500000000000005,0.2999999821186065
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.18500000000000005,
nateraw/vit-base-patch16-224-cifar10,0.18500000000000005,
WinKawaks/vit-small-patch16-224,0.18500000000000005,0.2449999898672104
thak123/goan-fish-fry,0.18500000000000005,0.3050000071525574
NhatPham/vit-base-patch16-224-recylce-ft,0.18500000000000005,0.2800000011920929
philschmid/vit-base-patch16-224-in21k-image-classification-sagemaker,0.18500000000000005,0.3799999952316284
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.18500000000000005,0.1599999964237213
flyswot/test,0.18500000000000005,
mrm8488/data2vec-base-finetuned-imagenet1k,0.18500000000000005,0.3400000035762787
smaranjitghose/big-cat-classifier,0.18500000000000005,0.2849999964237213
roydcarlson/grain,0.18500000000000005,0.3100000023841858
firebolt/llama_or_what2,0.18500000000000005,0.3299999833106994
lewtun/oz-fauna,0.18500000000000005,0.3499999940395355
jasmeen/dogs,0.18500000000000005,0.3349999785423279
smc/electric,0.18500000000000005,0.3400000035762787
amitkayal/ak-vit-base-patch16-224-in21k-image_classification,0.18500000000000005,
Ahmed9275/ALL,0.18500000000000005,0.3149999976158142
pierric/ny-cr-fr,0.18500000000000005,
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.18500000000000005,0.1599999964237213
Suzana/new-york-tokyo-london,0.18500000000000005,
juanfiguera/ice_cream,0.18500000000000005,
thak123/indian-snacks,0.18500000000000005,
johnnydevriese/vit-airplanes,0.18500000000000005,
Hijazzi/rare-puppers,0.18500000000000005,
SriramSridhar78/sriram-car-classifier,0.18500000000000005,
eliwill/rare-puppers,0.18500000000000005,
osanseviero/hot_dog_or_sandwich,0.18500000000000005,
jmarshall/rare-puppers,0.18500000000000005,
facebook/deit-tiny-patch16-224,0.18000000000000005,0.2049999982118606
