model_identifier,1nn_accuracy,ft_accuracy
nateraw/vit-base-beans,0.44499999999999995,0.1400000005960464
michaelbenayoun/vit-base-beans,0.43999999999999995,0.1749999970197677
IDEA-CCNL/Taiyi-vit-87M-D,0.43500000000000005,0.4699999988079071
google/vit-base-patch16-224,0.43500000000000005,0.4749999940395355
V0ltron/vit-base-patch16-224-finetuned-largerDataSet-docSeperator-more-labels-all-apache2,0.43500000000000005,0.4949999749660492
google/vit-large-patch16-224,0.43000000000000005,0.4799999892711639
lazyturtl/blocks,0.42500000000000004,0.1649999916553497
jjhoffstein/lotr,0.42500000000000004,0.1400000005960464
nateraw/rare-puppers-demo,0.42500000000000004,0.1499999910593032
nielsr/vit-base-patch16-224,0.42500000000000004,0.4849999845027923
smc/Electric_Pole_with_or_without_transformer,0.42000000000000004,0.1299999952316284
smc/electric_2,0.42000000000000004,0.1599999964237213
firas-spanioli/beer-whisky-wine-detection,0.42000000000000004,0.1649999916553497
mustapha/flipped-image-ViT,0.42000000000000004,0.4599999785423279
juanfiguera/ice_cream,0.42000000000000004,0.1550000011920929
osanseviero/hot_dog_or_sandwich,0.42000000000000004,0.1700000017881393
google/vit-large-patch32-384,0.41500000000000004,0.0249999985098838
smc/electric,0.41500000000000004,0.1799999922513961
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.41500000000000004,0.1349999904632568
mmekias/vit-base-beans,0.41500000000000004,0.1349999904632568
microsoft/swin-large-patch4-window7-224,0.41000000000000003,0.0599999986588954
NhatPham/vit-base-patch16-224-recylce-ft,0.41000000000000003,0.4350000023841858
karthiksv/vit-base-beans,0.41000000000000003,0.1499999910593032
nateraw/huggingpics-package-demo,0.41000000000000003,
karthiksv/vit-base-patch16-224-cifar10,0.41000000000000003,0.1599999964237213
nateraw/pasta-shapes,0.41000000000000003,0.2949999868869781
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.41000000000000003,0.1649999916553497
nateraw/huggingpics-package-demo-2,0.41000000000000003,0.3149999976158142
nateraw/rare-puppers-new-auth,0.41000000000000003,0.1599999964237213
smc/electric_poles,0.405,0.1449999958276748
hafidber/anomaly2,0.405,0.1649999916553497
Neto71/sea_mammals,0.405,0.1749999970197677
nateraw/rare-puppers-123,0.405,0.1299999952316284
hafidber/fruits,0.405,0.1400000005960464
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.405,0.1550000011920929
velociraptor/hugging-doge,0.405,0.1550000011920929
hafidber/rare-puppers,0.405,0.1550000011920929
Rajaram1996/FacialEmoRecog,0.4,0.1749999970197677
nateraw/vit-base-patch16-224-cifar10,0.4,0.2299999892711639
driboune/skin_type,0.4,0.1499999910593032
Amrrs/indian-foods,0.4,
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.4,0.1649999916553497
Amrrs/south-indian-foods,0.4,0.1550000011920929
hafidber/anomaly,0.4,0.1599999964237213
jmarshall/rare-puppers,0.4,0.1449999958276748
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.395,0.1799999922513961
osanseviero/llama-alpaca-guanaco-vicuna,0.395,0.1599999964237213
osanseviero/llama-alpaca-snake,0.395,0.1499999910593032
ipvikas/rare-puppers,0.395,0.1499999910593032
jeffboudier/vision-transformers-spain-or-italy-fan,0.395,0.1550000011920929
Frodnar/bee-likes,0.395,0.1499999910593032
nateraw/ex-for-evan,0.395,0.1599999964237213
nateraw/baked-goods,0.395,0.1400000005960464
nateraw/trainer-rare-puppers,0.395,0.1550000011920929
eliwill/rare-puppers,0.395,0.125
google/vit-base-patch32-384,0.39,0.4650000035762787
thak123/goan-fish-fry,0.39,0.1649999916553497
sreeramajay/pollution,0.39,0.1449999958276748
black/simple_kitchen,0.39,0.125
smaranjitghose/cricket-baseball-smrn,0.39,0.1550000011920929
johnnydevriese/vliegmachine,0.39,0.1349999904632568
b25mayank3/shirt_identifier,0.39,0.1099999994039535
osanseviero/llama-horse-zebra,0.385,0.1349999904632568
micole66/dwarf-goats,0.385,0.1649999916553497
ajanco/greens,0.385,0.1400000005960464
hgarg/indian-snacks,0.385,0.1349999904632568
suhnylla/planes_airlines,0.385,0.1349999904632568
Symbermine/rare-puppers,0.385,0.1299999952316284
firebolt/llama_or_what,0.385,0.1499999910593032
nateraw/donut-or-bagel,0.385,0.3050000071525574
nateraw/rare-puppers-09-04-2021,0.385,0.3149999976158142
eren23/pneumonia-bielefeld-dl-course,0.385,0.1550000011920929
