model_identifier,1nn_accuracy,ft_accuracy
imjeffhi/pokemon_classifier,0.28,0.8349999785423279
nateraw/vit-base-beans-demo-v2,0.28,
akahana/asl-vit,0.28,0.8149999976158142
Ahmed9275/ALL,0.27,0.73499995470047
Ahmed9275/Vit-Cifar100,0.27,0.7999999523162842
facebook/deit-base-distilled-patch16-224,0.265,0.875
facebook/data2vec-vision-large,0.265,
jadohu/BEiT-finetuned,0.26,0.2299999892711639
AkshatSurolia/DeiT-FaceMask-Finetuned,0.255,
nateraw/vit-age-classifier,0.25,0.7599999904632568
facebook/deit-small-distilled-patch16-224,0.25,0.209999993443489
smc/electric_pole_type_classification,0.245,0.75
mustapha/flipped-image-ViT,0.245,0.8299999833106995
Zayn/VIT_Basic,0.245,
microsoft/swin-base-patch4-window7-224,0.24,0.85999995470047
SriramSridhar78/sriram-car-classifier,0.24,0.8050000071525574
meame2010/rare-puppers,0.24,
nateraw/vit-base-patch16-224-cifar10,0.235,0.7899999618530273
nateraw/vit-base-cats-vs-dogs,0.235,0.6349999904632568
Ahmed9275/ALL-3,0.235,0.2299999892711639
vivekRahul/animal_classifier_huggingface,0.235,0.7149999737739563
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0.22999999999999998,0.2299999892711639
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.22999999999999998,0.6899999976158142
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.22999999999999998,0.2299999892711639
Ahmed9275/ALL-test,0.22999999999999998,0.2299999892711639
nateraw/trainer-rare-puppers,0.22999999999999998,0.7249999642372131
nickmuchi/vit-base-xray-pneumonia,0.22499999999999998,0.6549999713897705
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.22499999999999998,0.7099999785423279
nateraw/baseball-stadium-foods,0.22499999999999998,0.7799999713897705
lewtun/oz-fauna,0.22499999999999998,0.7049999833106995
daveni/upside_down_classifier,0.22499999999999998,0.5399999618530273
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,0.22499999999999998,0.7799999713897705
Nonem100/Test-Model,0.22499999999999998,0.7099999785423279
abdusahmbzuai/CarViT,0.22499999999999998,0.7749999761581421
